City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,PM2.5_Outlier,PM10_Outlier,NO_Outlier,NO2_Outlier,NOx_Outlier,NH3_Outlier,CO_Outlier,SO2_Outlier,O3_Outlier,Year,Month,Month_Name,Quarter,Quarter_Label,Day,Day_of_Week,Day_Name,Week_of_Year,Is_Weekend,Year_Month,Season,PM25_PM10_Ratio,NO2_NOx_Ratio,O3_PM10_Ratio,Pollution_Index,Pollution_Index_Band,Pollutants_Above_City_Q3,City_Pollutant_Percentile,AQI_Lag_1,AQI_Change_1d,AQI_Rolling_7,AQI_RollingStd_7,AQI_Rolling_30,AQI_RollingStd_30
Bangalore,2015-01-11,470.4,237.2,9.3,49.5,137.8,43.0,8.68,92.9,158.0,191.5,Moderate,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,11,6,Sunday,2,1,2015-01,Winter,1.9831365935919056,0.3592162554426705,0.6661045531197303,63.46,High,5,63.5,443.8,-252.3,269.0285714285714,122.09454962290104,286.8636363636364,106.80830747397201
Bangalore,2015-01-12,138.2,431.8,119.0,46.9,180.4,22.2,6.57,70.2,128.9,402.1,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,12,0,Monday,3,0,2015-01,Winter,0.3200555812876331,0.25997782705099776,0.2985178323297823,56.37,Medium,0,56.3,191.5,210.60000000000002,267.35714285714283,119.8416713438034,296.46666666666664,107.13328430539504
Bangalore,2015-01-13,146.7,59.5,48.2,32.7,222.4,14.6,1.0,50.5,101.1,320.7,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,13,1,Tuesday,3,0,2015-01,Winter,2.4655462184873946,0.14703237410071943,1.6991596638655462,34.93,Low,1,34.9,402.1,-81.40000000000003,296.1857142857143,100.96244233329918,298.33076923076925,102.7922774710839
Bangalore,2015-01-14,487.0,70.9,173.6,53.5,249.2,5.6,6.43,75.5,24.0,155.3,Moderate,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,14,2,Wednesday,3,0,2015-01,Winter,6.868829337094499,0.21468699839486358,0.3385049365303244,54.93,Medium,4,54.8,320.7,-165.39999999999998,275.15714285714284,113.92541210726219,288.1142857142857,105.8996466700204
Bangalore,2015-01-15,415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,399.7,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,15,3,Thursday,3,0,2015-01,Winter,0.9676593764541647,0.947261663286004,0.31503024662633783,57.63,Medium,2,57.6,155.3,244.39999999999998,304.8285714285715,115.69143895560745,295.55333333333334,106.03666391978811
Bangalore,2015-01-16,198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,360.2,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,16,4,Friday,3,0,2015-01,Winter,1.8200183654729107,0.43078859060402686,0.5426997245179063,48.85,Medium,2,49.1,399.7,-39.5,324.75714285714287,110.6913103657021,299.59375,103.70818976821454
Bangalore,2015-01-17,368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,465.7,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,17,5,Saturday,3,1,2015-01,Winter,0.7748372190716235,0.48473486877343336,0.011132115101869355,53.58,Medium,1,53.3,360.2,105.5,327.88571428571424,114.84813782515047,309.36470588235295,108.19516475550367
Bangalore,2015-01-18,14.0,456.9,88.4,112.2,166.8,16.0,8.68,11.9,27.3,438.2,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,18,6,Sunday,3,1,2015-01,Winter,0.030641278179032613,0.672661870503597,0.059750492449113596,45.45,Medium,2,45.3,465.7,-27.5,363.12857142857143,103.29112117837482,316.5222222222222,109.2690933944353
Bangalore,2015-01-19,306.8,78.0,43.2,115.6,95.1,30.5,3.47,0.8,140.9,456.8,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,19,0,Monday,4,0,2015-01,Winter,3.9333333333333336,1.2155625657202944,1.8064102564102564,42.0,Medium,1,42.2,438.2,18.600000000000023,370.9428571428571,108.66037083719247,323.90526315789475,110.95986999153345
Bangalore,2015-01-20,465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,156.9,Moderate,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,20,1,Tuesday,4,0,2015-01,Winter,2.5151187904967607,1.0529986052998606,0.6879049676025919,52.01,Medium,2,51.8,456.8,-299.9,347.5428571428571,135.58486711457215,315.555,114.274344291087
Bangalore,2015-01-21,21.2,271.6,43.0,46.7,91.6,20.2,1.16,40.6,183.6,238.1,Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,21,2,Wednesday,4,0,2015-01,Winter,0.07805596465390278,0.5098253275109171,0.6759941089837996,35.91,Low,1,35.8,156.9,81.19999999999999,359.37142857142857,118.56120380469763,311.8666666666667,112.65599998816454
Bangalore,2015-01-22,180.2,53.0,90.6,132.1,226.1,9.3,6.29,2.7,125.7,346.4,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,22,3,Thursday,4,0,2015-01,Winter,3.4,0.5842547545333923,2.371698113207547,46.19,Medium,2,46.3,238.1,108.29999999999998,351.7571428571428,117.24374691417955,313.43636363636364,110.18724991254678
Bangalore,2015-01-23,469.0,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,175.8,Moderate,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,23,4,Friday,4,0,2015-01,Winter,3.822330888345558,1.1046511627906976,1.2355338223308883,65.75,High,4,65.8,346.4,-170.59999999999997,325.4142857142857,134.47960723434895,307.45217391304345,111.41363499698366
Bangalore,2015-01-24,172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,340.8,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,24,5,Saturday,4,1,2015-01,Winter,0.2982577195100914,0.22961373390557938,0.2746248059341038,47.63,Medium,2,47.5,175.8,165.0,307.57142857142856,120.30284998405364,308.84166666666664,109.17709951253977
Bangalore,2015-01-25,219.2,22.7,7.2,121.4,75.0,31.6,6.53,95.3,58.6,376.4,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,25,6,Sunday,4,1,2015-01,Winter,9.656387665198238,1.6186666666666667,2.5814977973568283,46.14,Medium,2,46.2,340.8,35.599999999999966,298.7428571428572,111.02897305272555,311.54400000000004,107.72907020236768
Bangalore,2015-01-26,274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,424.2,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,26,0,Monday,5,0,2015-01,Winter,2.296482412060301,0.9554317548746518,0.1708542713567839,31.44,Low,1,31.5,376.4,47.80000000000001,294.0857142857143,103.73862071847411,315.87692307692305,107.83997517689737
Bangalore,2015-01-27,469.0,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,169.2,Moderate,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,27,1,Tuesday,5,0,2015-01,Winter,2.3035363457760316,0.5390450691655511,0.5412573673870335,58.06,Medium,3,58.1,424.2,-255.0,295.84285714285716,101.09823369942154,310.44444444444446,109.4485841119133
Bangalore,2015-01-28,447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,209.4,Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,28,2,Wednesday,5,0,2015-01,Winter,2.9318032786885246,1.4451754385964912,1.1298360655737705,54.0,Medium,4,54.1,169.2,40.20000000000002,291.74285714285713,104.35961634564167,306.8357142857143,109.08697588107529
Bangalore,2015-01-29,258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,408.8,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,29,3,Thursday,5,0,2015-01,Winter,2.715634837355719,5.857142857142858,1.5792235047219307,42.3,Medium,1,42.1,209.4,199.4,300.65714285714284,112.17865003559956,310.35172413793106,108.78178557056866
Bangalore,2015-01-30,17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,385.8,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,30,4,Friday,5,0,2015-01,Winter,0.04203486983520421,1.3476394849785407,0.22545975638882257,57.82,Medium,4,57.9,408.8,-23.0,330.65714285714284,100.71767235103046,312.8666666666667,107.77371675407925
Bangalore,2015-01-31,327.5,71.1,73.7,105.1,203.7,3.0,6.85,4.4,28.9,477.5,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,31,5,Saturday,5,1,2015-01,Winter,4.606188466947961,0.5159548355424645,0.40646976090014064,39.9,Low,1,39.7,385.8,91.69999999999999,350.18571428571425,115.2205772792839,317.4566666666667,111.81677341120137
Bangalore,2015-02-01,245.6,397.9,73.9,91.1,212.8,46.1,1.84,59.0,6.3,396.6,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,1,6,Sunday,5,1,2015-02,Winter,0.617240512691631,0.4281015037593984,0.015833123900477506,52.33,Medium,2,52.3,477.5,-80.89999999999998,353.07142857142856,116.23503078225767,321.76000000000005,112.31101705409017
Bangalore,2015-02-02,265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,415.2,Severe,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,2,0,Monday,6,0,2015-02,Winter,30.136363636363633,4.599056603773585,9.738636363636363,32.49,Low,0,32.4,396.6,18.599999999999966,351.7857142857143,115.36363419742852,321.6233333333333,112.190661862721
Bangalore,2015-02-03,413.9,371.0,153.5,37.8,117.5,6.5,8.55,56.1,132.0,326.1,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,3,1,Tuesday,6,0,2015-02,Winter,1.1156334231805929,0.32170212765957445,0.3557951482479784,57.13,Medium,3,57.0,415.2,-89.09999999999997,374.2,85.3014458650419,324.30333333333334,111.27099719195452
Bangalore,2015-02-04,76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,203.1,Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,4,2,Wednesday,6,0,2015-02,Winter,0.3010667720268669,10.804878048780488,0.3148952983010668,31.9,Low,0,31.8,326.1,-123.00000000000003,373.3,87.33891839647816,317.28,112.07395772435271
Bangalore,2015-02-05,73.8,57.2,114.9,37.9,185.6,6.5,1.48,47.3,86.3,144.7,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,5,3,Thursday,6,0,2015-02,Winter,1.29020979020979,0.20420258620689655,1.5087412587412585,33.28,Low,0,33.1,203.1,-58.400000000000006,335.57142857142856,120.27892187585921,318.14000000000004,110.58833760299096
Bangalore,2015-02-06,56.8,201.4,48.7,121.0,97.0,26.2,9.2,20.6,48.5,190.0,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,6,4,Friday,6,0,2015-02,Winter,0.282025819265144,1.2474226804123711,0.24081429990069514,42.0,Medium,2,42.1,144.7,45.30000000000001,307.59999999999997,129.0952103423412,314.39000000000004,113.01769879704378
Bangalore,2015-02-07,375.1,280.7,6.4,115.6,116.0,37.8,2.47,4.0,71.1,230.7,Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,7,5,Saturday,6,1,2015-02,Winter,1.336302101888137,0.996551724137931,0.25329533309583185,43.15,Medium,2,43.4,190.0,40.69999999999999,272.3428571428571,106.72361277528746,315.68,111.78671008543071
Bangalore,2015-02-08,287.3,346.6,85.5,114.7,100.5,41.5,4.48,52.6,140.8,437.3,Severe,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,8,6,Sunday,6,1,2015-02,Winter,0.8289094056549337,1.1412935323383084,0.4062319676860935,58.38,Medium,2,58.5,230.7,206.60000000000002,278.15714285714284,115.37905438369725,322.9,112.43360646207594
Bangalore,2015-02-09,270.0,331.6,6.9,4.6,157.0,22.1,9.34,63.3,174.6,420.0,Severe,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,9,0,Monday,7,0,2015-02,Winter,0.8142340168878166,0.029299363057324838,0.5265379975874547,51.87,Medium,2,51.7,437.3,-17.30000000000001,278.84285714285716,116.33952978448971,322.1066666666667,111.6322284861393
Bangalore,2015-02-10,419.1,43.5,80.1,35.5,239.7,28.1,4.99,22.3,40.9,137.2,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,10,1,Tuesday,7,0,2015-02,Winter,9.63448275862069,0.14810179390905298,0.9402298850574712,44.39,Medium,2,44.5,420.0,-282.8,251.85714285714286,125.12738651927015,320.2966666666667,114.23281877401728
Bangalore,2015-02-11,127.8,526.8,179.1,134.0,0.3,33.8,1.79,91.1,14.8,306.2,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,11,2,Wednesday,7,0,2015-02,Winter,0.24259681093394078,446.6666666666667,0.028094153378891425,52.93,Medium,4,53.0,137.2,169.0,266.5857142857143,124.49802446319408,317.1,113.20188556977187
Bangalore,2015-02-12,318.1,363.3,79.6,121.0,33.3,31.0,7.97,66.8,172.9,468.1,Severe,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,12,3,Thursday,7,0,2015-02,Winter,0.8755849160473438,3.633633633633634,0.47591522157996147,61.44,High,3,61.4,306.2,161.90000000000003,312.7857142857143,131.53538723567164,322.0133333333334,116.51389656154336
Bangalore,2015-02-13,98.7,170.3,76.9,102.2,218.9,36.4,1.24,98.6,72.7,227.3,Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,13,4,Friday,7,0,2015-02,Winter,0.5795654726952436,0.4668798538145272,0.42689371697005285,51.38,Medium,2,51.6,468.1,-240.8,318.1142857142857,126.38701711504267,324.4133333333333,113.66824605367826
Bangalore,2015-02-14,308.9,324.1,62.1,77.5,111.0,32.9,5.28,91.4,124.7,458.9,Severe,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,14,5,Saturday,7,1,2015-02,Winter,0.9531008947855599,0.6981981981981982,0.384757790805307,57.25,Medium,1,57.2,227.3,231.59999999999997,350.7142857142857,129.4746491090235,326.38666666666666,115.51912734092653
Bangalore,2015-02-15,148.2,233.0,167.4,70.1,145.2,44.7,2.2,77.6,46.2,321.9,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,15,6,Sunday,7,1,2015-02,Winter,0.6360515021459227,0.48278236914600553,0.1982832618025751,52.12,Medium,3,52.3,458.9,-137.0,334.2285714285714,123.83647435611358,325.10999999999996,115.34405609246656
Bangalore,2015-02-16,63.0,58.1,73.3,61.6,249.8,8.5,8.63,6.0,86.4,182.8,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,16,0,Monday,8,0,2015-02,Winter,1.0843373493975903,0.2465972778222578,1.487091222030981,39.16,Low,2,39.3,321.9,-139.09999999999997,300.3428571428571,128.808007736875,315.68,115.01755907926287
Bangalore,2015-02-17,475.1,186.4,157.4,15.7,233.3,37.6,5.58,99.3,137.5,157.7,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,17,1,Tuesday,8,0,2015-02,Winter,2.5488197424892705,0.06729532790398628,0.7376609442060086,67.52,High,5,67.7,182.8,-25.100000000000023,303.2714285714286,124.64641610419065,306.33,116.11023047384609
Bangalore,2015-02-18,355.2,376.8,59.8,91.9,224.3,11.6,2.71,52.0,31.8,333.3,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,18,2,Wednesday,8,0,2015-02,Winter,0.9426751592356687,0.40971912617030765,0.08439490445859872,48.1,Medium,1,47.9,157.7,175.60000000000002,307.14285714285717,125.17227937450656,302.2133333333333,112.73156010487108
Bangalore,2015-02-19,460.0,531.0,30.1,40.0,53.6,48.3,3.97,46.6,58.9,124.4,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,19,3,Thursday,8,0,2015-02,Winter,0.8662900188323918,0.7462686567164178,0.11092278719397364,50.67,Medium,3,50.6,333.3,-208.9,258.04285714285714,118.7579310634712,301.13,114.32110599474653
Bangalore,2015-02-20,345.0,217.8,151.5,115.1,219.8,7.6,1.17,32.2,174.7,495.0,Severe,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,20,4,Friday,8,0,2015-02,Winter,1.584022038567493,0.5236578707916287,0.8021120293847566,54.69,Medium,4,54.7,124.4,370.6,296.2857142857143,146.96180261745369,309.6933333333333,118.96435552323004
Bangalore,2015-02-21,438.0,510.7,160.2,43.7,65.1,46.5,3.85,23.8,30.4,122.9,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,21,5,Saturday,8,1,2015-02,Winter,0.8576463677305659,0.6712749615975423,0.059526140591345214,53.17,Medium,4,53.3,495.0,-372.1,248.28571428571428,139.68883788109707,302.2433333333333,123.49819399303064
Bangalore,2015-02-22,353.4,176.1,177.6,109.3,129.5,0.8,4.88,5.8,51.5,150.9,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,22,6,Sunday,8,1,2015-02,Winter,2.0068143100511073,0.844015444015444,0.2924474730266894,43.94,Medium,1,44.1,122.9,28.0,223.85714285714286,139.62178503780433,301.4133333333333,124.4572402220062
Bangalore,2015-02-23,159.9,326.1,132.7,33.0,104.3,13.1,8.86,27.4,139.6,330.9,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,23,0,Monday,9,0,2015-02,Winter,0.4903403863845446,0.31639501438159157,0.42808954308494324,47.6,Medium,1,47.9,150.9,179.99999999999997,245.0142857142857,143.52965348168098,301.0833333333333,124.3622935518289
Bangalore,2015-02-24,39.4,414.2,64.5,35.7,70.1,49.2,6.17,31.8,96.6,380.2,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,24,1,Tuesday,9,0,2015-02,Winter,0.0951231289232255,0.5092724679029959,0.233220666344761,44.58,Medium,1,44.7,330.9,49.30000000000001,276.8,145.59283407274316,301.21,124.44355970368308
Bangalore,2015-02-25,448.5,581.4,8.0,60.2,57.3,0.3,0.18,13.7,44.3,75.1,Satisfactory,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,25,2,Wednesday,9,0,2015-02,Winter,0.7714138286893705,1.0506108202443283,0.07619539043687651,32.44,Low,2,32.4,380.2,-305.1,239.91428571428568,160.80546662112604,289.5733333333334,128.7923507402338
Bangalore,2015-02-26,356.0,523.7,189.9,125.4,71.1,9.9,1.17,63.9,75.1,145.4,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,26,3,Thursday,9,0,2015-02,Winter,0.6797784991407294,1.7637130801687766,0.14340271147603587,55.38,Medium,3,55.3,75.1,70.30000000000001,242.91428571428568,158.4701804606724,288.78,129.62997045968694
Bangalore,2015-02-27,463.2,535.2,82.4,121.0,10.5,3.8,0.31,33.7,149.2,172.2,Moderate,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,27,4,Friday,9,0,2015-02,Winter,0.8654708520179372,11.523809523809524,0.27877428998505227,47.44,Medium,3,47.4,145.4,26.799999999999983,196.8,113.46394434650436,287.54,130.58984646594848
Bangalore,2015-02-28,234.1,286.6,145.6,66.1,74.8,28.1,8.78,93.3,45.0,387.8,Very Poor,0,0,0,0,0,0,0,0,0,2015,2,February,1,Q1,28,5,Saturday,9,1,2015-02,Winter,0.8168178646196789,0.8836898395721925,0.157013258897418,55.69,Medium,2,55.7,172.2,215.60000000000002,234.64285714285714,127.95807721206779,286.84,129.9722665377715
Bangalore,2015-03-01,320.5,471.2,31.8,100.4,231.9,45.1,0.47,64.8,154.7,470.5,Severe,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,1,6,Sunday,9,1,2015-03,Winter,0.6801782682512734,0.43294523501509274,0.3283106960950764,61.7,High,4,61.8,387.8,82.69999999999999,280.3,148.47183795813487,289.6633333333333,133.0788837451328
Bangalore,2015-03-02,197.2,61.7,155.7,13.7,67.4,44.1,9.96,25.7,172.7,359.5,Very Poor,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,2,0,Monday,10,0,2015-03,Winter,3.1961102106969204,0.20326409495548958,2.7990275526742296,51.5,Medium,4,51.9,470.5,-111.0,284.3857142857143,150.47632625069218,285.72999999999996,129.01752126398742
Bangalore,2015-03-03,147.2,33.3,148.5,59.6,154.7,36.2,0.39,57.5,126.9,321.1,Very Poor,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,3,1,Tuesday,10,0,2015-03,Winter,4.42042042042042,0.38526179702650293,3.8108108108108114,45.35,Medium,0,45.5,359.5,-38.39999999999998,275.9428571428571,145.78942413795377,283.2133333333333,127.5078056659557
Bangalore,2015-03-04,196.7,278.3,71.3,44.4,68.7,4.9,6.02,25.0,108.7,359.1,Very Poor,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,4,2,Wednesday,10,0,2015-03,Winter,0.706791232482932,0.6462882096069869,0.3905856988860941,36.42,Low,0,36.5,321.1,38.0,316.5142857142858,117.31887356788803,281.3433333333333,125.90669419724338
Bangalore,2015-03-05,217.6,545.8,93.6,144.5,111.2,17.0,6.82,5.4,120.2,375.1,Very Poor,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,5,3,Thursday,10,0,2015-03,Winter,0.39868083547086847,1.2994604316546763,0.2202271894466838,54.42,Medium,2,54.5,359.1,16.0,349.3285714285715,90.55114050976418,282.9766666666667,126.82182636943122
Bangalore,2015-03-06,33.5,391.5,100.2,8.0,194.2,5.2,9.8,51.1,132.4,351.8,Very Poor,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,6,4,Friday,10,0,2015-03,Winter,0.08556832694763729,0.0411946446961895,0.33818646232439337,47.86,Medium,2,47.7,375.1,-23.30000000000001,374.9857142857143,46.94075800309123,287.93333333333334,126.49775882799563
Bangalore,2015-03-07,72.3,384.2,17.4,100.8,4.1,13.9,6.22,47.3,198.9,342.6,Very Poor,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,7,5,Saturday,10,1,2015-03,Winter,0.18818323789692867,24.585365853658537,0.5176991150442478,43.64,Medium,1,43.3,351.8,-9.199999999999989,368.52857142857147,47.981549033134165,294.53,123.90429885949104
Bangalore,2015-03-08,314.7,280.0,77.5,93.2,179.7,7.8,5.68,14.4,177.3,464.7,Severe,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,8,6,Sunday,10,1,2015-03,Winter,1.1239285714285714,0.518642181413467,0.6332142857142857,50.87,Medium,1,50.7,342.6,122.09999999999997,367.7,45.933538944871316,303.6866666666666,126.04486812881036
Bangalore,2015-03-09,362.7,110.1,154.6,83.8,90.4,6.0,8.65,55.8,197.9,274.4,Poor,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,9,0,Monday,11,0,2015-03,Winter,3.2942779291553133,0.9269911504424778,1.7974568574023617,57.05,Medium,3,56.8,464.7,-190.3,355.54285714285714,58.112559088458084,305.1433333333334,125.42327695567059
Bangalore,2015-03-10,361.6,470.5,74.0,141.8,34.7,45.8,6.89,92.3,95.9,457.7,Severe,0,0,0,0,0,0,0,0,0,2015,3,March,1,Q1,10,1,Tuesday,11,0,2015-03,Winter,0.7685441020191286,4.086455331412104,0.2038257173219979,66.32,High,4,66.4,274.4,183.3,375.0571428571429,66.8911268939526,305.8233333333333,126.21727758480428
