City,Date,Year,Month,Season,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Anomaly,Anomaly_Label,Anomaly_Score,Cluster
Bangalore,2015-01-28,2015,1,Winter,447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,209.4,Poor,0.0,Normal,-0.5266,0
Bangalore,2015-01-29,2015,1,Winter,258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,408.8,Severe,0.0,Normal,-0.49063,0
Bangalore,2015-01-30,2015,1,Winter,17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,385.8,Very Poor,0.0,Normal,-0.53175,0
Bangalore,2015-01-31,2015,1,Winter,327.5,71.1,73.7,105.1,203.7,3.0,6.85,4.4,28.9,477.5,Severe,0.0,Normal,-0.52646,1
Bangalore,2015-02-01,2015,2,Winter,245.6,397.9,73.9,91.1,212.8,46.1,1.84,59.0,6.3,396.6,Very Poor,0.0,Normal,-0.50855,1
Bangalore,2015-02-02,2015,2,Winter,265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,415.2,Severe,0.0,Normal,-0.50462,0
Bangalore,2015-02-03,2015,2,Winter,413.9,371.0,153.5,37.8,117.5,6.5,8.55,56.1,132.0,326.1,Very Poor,0.0,Normal,-0.49141,0
Bangalore,2015-02-04,2015,2,Winter,76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,203.1,Poor,0.0,Normal,-0.50476,0
Bangalore,2015-02-05,2015,2,Winter,73.8,57.2,114.9,37.9,185.6,6.5,1.48,47.3,86.3,144.7,Moderate,0.0,Normal,-0.50077,1
Bangalore,2015-02-06,2015,2,Winter,56.8,201.4,48.7,121.0,97.0,26.2,9.2,20.6,48.5,190.0,Moderate,0.0,Normal,-0.51838,0
Bangalore,2015-02-07,2015,2,Winter,375.1,280.7,6.4,115.6,116.0,37.8,2.47,4.0,71.1,230.7,Poor,0.0,Normal,-0.51966,0
Bangalore,2015-02-08,2015,2,Winter,287.3,346.6,85.5,114.7,100.5,41.5,4.48,52.6,140.8,437.3,Severe,0.0,Normal,-0.45521,0
Bangalore,2015-02-09,2015,2,Winter,270.0,331.6,6.9,4.6,157.0,22.1,9.34,63.3,174.6,420.0,Severe,0.0,Normal,-0.53023,1
Bangalore,2015-02-10,2015,2,Winter,419.1,43.5,80.1,35.5,239.7,28.1,4.99,22.3,40.9,137.2,Moderate,0.0,Normal,-0.51246,1
Bangalore,2015-02-11,2015,2,Winter,127.8,526.8,179.1,134.0,0.3,33.8,1.79,91.1,14.8,306.2,Very Poor,1.0,Anomaly,-0.57111,0
Bangalore,2015-02-12,2015,2,Winter,318.1,363.3,79.6,121.0,33.3,31.0,7.97,66.8,172.9,468.1,Severe,0.0,Normal,-0.4883,0
Bangalore,2015-02-13,2015,2,Winter,98.7,170.3,76.9,102.2,218.9,36.4,1.24,98.6,72.7,227.3,Poor,0.0,Normal,-0.51867,1
Bangalore,2015-02-14,2015,2,Winter,308.9,324.1,62.1,77.5,111.0,32.9,5.28,91.4,124.7,458.9,Severe,0.0,Normal,-0.46098,0
Bangalore,2015-02-15,2015,2,Winter,148.2,233.0,167.4,70.1,145.2,44.7,2.2,77.6,46.2,321.9,Very Poor,0.0,Normal,-0.49332,1
Bangalore,2015-02-16,2015,2,Winter,63.0,58.1,73.3,61.6,249.8,8.5,8.63,6.0,86.4,182.8,Moderate,0.0,Normal,-0.54283,1
Bangalore,2015-02-17,2015,2,Winter,475.1,186.4,157.4,15.7,233.3,37.6,5.58,99.3,137.5,157.7,Moderate,0.0,Normal,-0.5362,1
Bangalore,2015-02-18,2015,2,Winter,355.2,376.8,59.8,91.9,224.3,11.6,2.71,52.0,31.8,333.3,Very Poor,0.0,Normal,-0.48433,1
Bangalore,2015-02-19,2015,2,Winter,460.0,531.0,30.1,40.0,53.6,48.3,3.97,46.6,58.9,124.4,Moderate,0.0,Normal,-0.53161,0
Bangalore,2015-02-20,2015,2,Winter,345.0,217.8,151.5,115.1,219.8,7.6,1.17,32.2,174.7,495.0,Severe,0.0,Normal,-0.49823,1
Bangalore,2015-02-21,2015,2,Winter,438.0,510.7,160.2,43.7,65.1,46.5,3.85,23.8,30.4,122.9,Moderate,0.0,Normal,-0.52051,0
Bangalore,2015-02-22,2015,2,Winter,353.4,176.1,177.6,109.3,129.5,0.8,4.88,5.8,51.5,150.9,Moderate,0.0,Normal,-0.51199,1
Bangalore,2015-02-23,2015,2,Winter,159.9,326.1,132.7,33.0,104.3,13.1,8.86,27.4,139.6,330.9,Very Poor,0.0,Normal,-0.48329,0
Bangalore,2015-02-24,2015,2,Winter,39.4,414.2,64.5,35.7,70.1,49.2,6.17,31.8,96.6,380.2,Very Poor,0.0,Normal,-0.51338,0
Bangalore,2015-02-25,2015,2,Winter,448.5,581.4,8.0,60.2,57.3,0.3,0.18,13.7,44.3,75.1,Satisfactory,1.0,Anomaly,-0.59199,0
Bangalore,2015-02-26,2015,2,Winter,356.0,523.7,189.9,125.4,71.1,9.9,1.17,63.9,75.1,145.4,Moderate,0.0,Normal,-0.52571,0
Bangalore,2015-02-27,2015,2,Winter,463.2,535.2,82.4,121.0,10.5,3.8,0.31,33.7,149.2,172.2,Moderate,0.0,Normal,-0.55543,0
Bangalore,2015-02-28,2015,2,Winter,234.1,286.6,145.6,66.1,74.8,28.1,8.78,93.3,45.0,387.8,Very Poor,0.0,Normal,-0.48667,0
Bangalore,2015-03-01,2015,3,Winter,320.5,471.2,31.8,100.4,231.9,45.1,0.47,64.8,154.7,470.5,Severe,0.0,Normal,-0.52564,1
Bangalore,2015-03-02,2015,3,Winter,197.2,61.7,155.7,13.7,67.4,44.1,9.96,25.7,172.7,359.5,Very Poor,0.0,Normal,-0.5455,0
Bangalore,2015-03-03,2015,3,Winter,147.2,33.3,148.5,59.6,154.7,36.2,0.39,57.5,126.9,321.1,Very Poor,0.0,Normal,-0.50072,1
Bangalore,2015-03-04,2015,3,Winter,196.7,278.3,71.3,44.4,68.7,4.9,6.02,25.0,108.7,359.1,Very Poor,0.0,Normal,-0.47796,0
Bangalore,2015-03-05,2015,3,Winter,217.6,545.8,93.6,144.5,111.2,17.0,6.82,5.4,120.2,375.1,Very Poor,0.0,Normal,-0.50451,0
Bangalore,2015-03-06,2015,3,Winter,33.5,391.5,100.2,8.0,194.2,5.2,9.8,51.1,132.4,351.8,Very Poor,0.0,Normal,-0.53963,1
Bangalore,2015-03-07,2015,3,Winter,72.3,384.2,17.4,100.8,4.1,13.9,6.22,47.3,198.9,342.6,Very Poor,0.0,Normal,-0.53372,0
Bangalore,2015-03-08,2015,3,Winter,314.7,280.0,77.5,93.2,179.7,7.8,5.68,14.4,177.3,464.7,Severe,0.0,Normal,-0.47489,1
Bangalore,2015-03-09,2015,3,Winter,362.7,110.1,154.6,83.8,90.4,6.0,8.65,55.8,197.9,274.4,Poor,0.0,Normal,-0.51205,0
Bangalore,2015-03-10,2015,3,Winter,361.6,470.5,74.0,141.8,34.7,45.8,6.89,92.3,95.9,457.7,Severe,0.0,Normal,-0.52287,0
Bangalore,2015-03-11,2015,3,Winter,5.3,306.2,58.3,78.5,69.6,13.3,2.85,65.6,157.4,256.2,Poor,0.0,Normal,-0.4994,0
Bangalore,2015-03-12,2015,3,Winter,156.2,558.5,22.8,8.3,193.7,3.0,8.97,90.2,136.9,328.0,Very Poor,1.0,Anomaly,-0.56612,1
Bangalore,2015-03-13,2015,3,Winter,496.9,129.7,73.2,58.1,173.3,16.2,2.46,33.6,16.9,120.1,Moderate,0.0,Normal,-0.51358,1
Bangalore,2015-03-14,2015,3,Winter,60.6,186.0,53.0,59.1,200.6,22.1,1.03,48.5,102.2,157.5,Moderate,0.0,Normal,-0.48619,1
Bangalore,2015-03-15,2015,3,Winter,50.0,60.8,75.6,3.3,164.8,9.6,1.86,45.1,44.0,92.4,Satisfactory,0.0,Normal,-0.52159,1
Bangalore,2015-03-16,2015,3,Winter,493.3,567.3,64.2,8.9,173.3,5.6,2.08,57.4,85.2,85.2,Satisfactory,0.0,Normal,-0.54329,1
Bangalore,2015-03-17,2015,3,Winter,220.7,322.2,55.5,58.4,125.8,27.3,6.57,58.6,123.4,377.5,Very Poor,0.0,Normal,-0.44634,0
Bangalore,2015-03-18,2015,3,Winter,112.7,466.3,135.8,100.2,221.1,40.3,5.25,99.6,33.1,451.6,Severe,0.0,Normal,-0.51794,1
Bangalore,2015-03-19,2015,3,Winter,246.6,489.0,31.9,139.9,232.5,16.2,7.54,13.5,133.1,484.2,Severe,0.0,Normal,-0.52834,1
Bangalore,2015-03-20,2015,3,Winter,17.5,395.7,59.1,143.2,60.5,34.7,9.41,1.0,69.0,357.0,Very Poor,0.0,Normal,-0.54935,0
Bangalore,2015-03-21,2015,3,Winter,174.8,205.0,119.5,103.5,35.1,39.9,4.56,54.4,193.1,342.3,Very Poor,0.0,Normal,-0.48771,0
Bangalore,2015-03-22,2015,3,Winter,24.7,417.5,185.4,149.7,32.5,11.1,1.61,82.5,120.8,384.3,Very Poor,0.0,Normal,-0.55378,0
Bangalore,2015-03-23,2015,3,Winter,331.9,16.8,164.3,118.1,48.5,48.0,2.06,30.2,20.4,481.9,Severe,0.0,Normal,-0.5398,0
Bangalore,2015-03-24,2015,3,Winter,428.4,588.4,18.7,57.9,105.6,22.6,7.08,71.4,189.6,253.3,Poor,0.0,Normal,-0.51875,0
Bangalore,2015-03-25,2015,3,Winter,46.1,358.7,77.0,148.6,200.5,41.2,2.82,13.6,64.3,310.6,Very Poor,0.0,Normal,-0.52177,1
Bangalore,2015-03-26,2015,3,Winter,106.4,595.3,179.7,26.1,146.3,21.2,9.66,34.4,79.5,253.6,Poor,0.0,Normal,-0.53915,1
Bangalore,2015-03-27,2015,3,Winter,200.3,304.6,155.9,132.0,213.8,25.6,1.29,16.2,36.0,361.9,Very Poor,0.0,Normal,-0.49931,1
Bangalore,2015-03-28,2015,3,Winter,371.3,579.8,199.3,116.1,47.5,46.0,6.35,51.5,54.9,154.3,Moderate,0.0,Normal,-0.53205,0
Bangalore,2015-03-29,2015,3,Winter,100.6,241.9,108.1,10.0,127.3,15.5,6.28,45.1,24.8,233.8,Poor,0.0,Normal,-0.48011,0
Bangalore,2015-03-30,2015,3,Winter,328.8,213.9,113.0,73.1,137.1,35.3,0.62,16.8,43.2,478.8,Severe,0.0,Normal,-0.48629,1
Bangalore,2015-03-31,2015,3,Winter,498.1,421.4,19.9,114.7,13.3,44.1,6.65,23.6,117.3,389.2,Very Poor,0.0,Normal,-0.54416,0
Bangalore,2015-04-01,2015,4,Summer,89.9,41.4,174.2,27.1,86.5,4.0,3.06,45.8,8.9,199.7,Moderate,0.0,Normal,-0.53839,0
Bangalore,2015-04-02,2015,4,Summer,303.2,328.1,160.1,92.0,124.5,43.4,8.15,30.3,80.1,453.2,Severe,0.0,Normal,-0.47583,0
Bangalore,2015-04-03,2015,4,Summer,289.0,390.8,20.1,97.0,191.5,17.0,2.89,7.8,60.7,439.0,Severe,0.0,Normal,-0.49627,1
Bangalore,2015-04-04,2015,4,Summer,62.6,454.7,155.9,133.9,226.2,9.5,9.23,29.9,118.6,435.0,Severe,0.0,Normal,-0.52806,1
Bangalore,2015-04-05,2015,4,Summer,244.9,38.6,186.7,87.3,121.1,21.4,4.45,5.8,45.3,396.1,Very Poor,0.0,Normal,-0.50652,1
Bangalore,2015-04-06,2015,4,Summer,454.3,212.3,182.1,59.6,217.1,23.7,6.86,71.0,67.6,175.0,Moderate,0.0,Normal,-0.49424,1
Bangalore,2015-04-07,2015,4,Summer,134.9,388.6,188.6,143.7,178.0,25.8,0.65,3.1,70.9,348.1,Very Poor,0.0,Normal,-0.53182,1
Bangalore,2015-04-08,2015,4,Summer,148.1,365.9,136.7,57.3,14.2,22.3,9.5,91.2,197.0,321.8,Very Poor,0.0,Normal,-0.53461,0
Bangalore,2015-04-09,2015,4,Summer,412.4,227.8,21.6,34.7,138.8,33.7,8.77,3.1,97.7,185.2,Moderate,0.0,Normal,-0.51992,1
Bangalore,2015-04-10,2015,4,Summer,421.2,90.5,66.7,105.0,193.4,24.5,3.64,78.8,56.8,125.0,Moderate,0.0,Normal,-0.49108,1
Bangalore,2015-04-11,2015,4,Summer,446.6,551.3,43.6,18.8,149.4,5.6,3.25,90.8,37.3,115.4,Moderate,0.0,Normal,-0.5434,1
Bangalore,2015-04-12,2015,4,Summer,86.7,460.4,97.6,83.4,242.5,47.8,7.65,21.2,144.1,443.2,Severe,0.0,Normal,-0.52733,1
Bangalore,2015-04-13,2015,4,Summer,331.5,434.7,98.0,147.0,49.2,37.1,6.58,14.2,46.0,481.5,Severe,0.0,Normal,-0.50491,0
Bangalore,2015-04-14,2015,4,Summer,121.0,349.1,97.3,108.5,77.9,41.6,0.5,56.6,70.6,301.0,Very Poor,0.0,Normal,-0.48468,0
Bangalore,2015-04-15,2015,4,Summer,79.2,575.0,178.9,53.8,246.4,17.3,7.97,83.9,93.7,174.6,Moderate,0.0,Normal,-0.54375,1
Bangalore,2015-04-16,2015,4,Summer,365.7,54.0,19.9,122.2,136.6,49.4,1.24,29.9,75.4,142.2,Moderate,0.0,Normal,-0.54236,1
Bangalore,2015-04-17,2015,4,Summer,225.7,575.8,48.4,77.6,202.8,5.9,2.54,87.5,64.4,381.4,Very Poor,0.0,Normal,-0.52181,1
Bangalore,2015-04-18,2015,4,Summer,72.7,39.3,122.2,9.8,18.7,28.0,4.2,7.3,168.2,140.9,Moderate,0.0,Normal,-0.54238,0
Bangalore,2015-04-19,2015,4,Summer,431.0,350.1,137.9,15.2,155.1,8.9,3.51,12.7,81.2,118.7,Moderate,0.0,Normal,-0.49805,1
Bangalore,2015-04-20,2015,4,Summer,140.6,23.5,117.6,20.8,231.9,16.1,3.08,79.7,169.6,316.0,Very Poor,0.0,Normal,-0.52411,1
Bangalore,2015-04-21,2015,4,Summer,2.7,68.2,28.5,66.1,152.5,0.6,8.01,98.5,144.2,175.1,Moderate,0.0,Normal,-0.5593,1
Bangalore,2015-04-22,2015,4,Summer,246.3,114.3,120.0,10.6,160.4,12.5,9.33,3.9,84.5,397.2,Very Poor,0.0,Normal,-0.51942,1
Bangalore,2015-04-23,2015,4,Summer,491.5,415.3,136.8,11.8,225.2,36.6,7.74,15.4,107.2,381.6,Very Poor,0.0,Normal,-0.53363,1
Bangalore,2015-04-24,2015,4,Summer,466.5,303.7,80.6,129.7,84.6,5.0,8.77,63.9,14.1,253.7,Poor,0.0,Normal,-0.53421,0
Bangalore,2015-04-25,2015,4,Summer,104.3,538.7,57.4,70.5,216.6,28.5,4.32,66.3,72.7,246.4,Poor,0.0,Normal,-0.48218,1
Bangalore,2015-04-26,2015,4,Summer,285.2,420.5,9.4,7.8,12.5,17.0,0.57,8.6,54.1,435.2,Severe,1.0,Anomaly,-0.55991,0
Bangalore,2015-04-27,2015,4,Summer,18.2,554.7,85.6,48.9,107.3,40.1,8.76,68.2,48.6,184.5,Moderate,0.0,Normal,-0.53227,0
Bangalore,2015-04-28,2015,4,Summer,270.6,433.1,169.6,103.8,20.5,14.2,5.84,77.9,79.7,420.6,Severe,0.0,Normal,-0.49112,0
Bangalore,2015-04-29,2015,4,Summer,328.3,14.8,166.2,121.0,44.2,42.4,4.29,39.4,141.0,478.3,Severe,0.0,Normal,-0.50759,0
Bangalore,2015-04-30,2015,4,Summer,326.2,133.9,0.8,103.5,170.8,36.9,9.63,96.1,143.9,476.2,Severe,0.0,Normal,-0.54892,1
Bangalore,2015-05-01,2015,5,Summer,55.2,545.8,145.9,144.7,132.1,49.6,4.96,67.8,81.6,164.7,Moderate,0.0,Normal,-0.53424,1
Bangalore,2015-05-02,2015,5,Summer,144.9,473.6,36.9,85.0,88.3,27.7,3.84,35.9,104.2,462.1,Severe,0.0,Normal,-0.46351,0
Bangalore,2015-05-03,2015,5,Summer,267.7,205.7,49.9,97.4,47.2,49.8,1.4,0.1,173.8,417.7,Severe,0.0,Normal,-0.54148,0
Bangalore,2015-05-04,2015,5,Summer,498.7,77.3,83.4,114.3,102.6,49.6,0.79,39.4,174.7,215.5,Poor,0.0,Normal,-0.55312,0
Bangalore,2015-05-05,2015,5,Summer,449.4,173.3,59.0,22.7,172.9,33.2,3.47,27.3,27.7,149.0,Moderate,0.0,Normal,-0.50573,1
Bangalore,2015-05-06,2015,5,Summer,436.4,105.4,46.1,85.0,5.5,45.2,8.36,2.3,170.4,204.6,Poor,1.0,Anomaly,-0.56287,0
Bangalore,2015-05-07,2015,5,Summer,171.6,370.3,1.0,100.5,189.7,35.8,8.12,77.1,93.6,339.8,Very Poor,0.0,Normal,-0.50907,1
Bangalore,2015-05-08,2015,5,Summer,285.6,330.8,123.5,122.6,66.6,12.6,0.81,98.7,51.6,435.6,Severe,0.0,Normal,-0.51058,0
Bangalore,2015-05-09,2015,5,Summer,25.4,76.7,9.6,27.6,205.2,33.1,1.8,48.5,177.8,223.3,Poor,0.0,Normal,-0.54231,1
Bangalore,2015-05-10,2015,5,Summer,285.4,436.6,16.8,100.3,141.7,39.9,3.13,13.2,67.1,435.4,Severe,0.0,Normal,-0.49565,1
Bangalore,2015-05-11,2015,5,Summer,264.2,144.3,180.6,147.1,191.3,40.6,2.59,65.5,122.5,414.2,Severe,0.0,Normal,-0.5091,1
Bangalore,2015-05-12,2015,5,Summer,474.4,433.0,138.0,56.1,45.7,47.2,9.0,95.2,41.3,403.9,Severe,0.0,Normal,-0.54523,0
Bangalore,2015-05-13,2015,5,Summer,260.6,471.1,197.0,136.5,112.7,6.4,5.0,35.7,46.4,458.5,Severe,0.0,Normal,-0.51576,0
Bangalore,2015-05-14,2015,5,Summer,354.6,582.1,72.1,120.8,238.4,47.3,2.28,76.2,185.0,241.6,Poor,0.0,Normal,-0.54546,1
Bangalore,2015-05-15,2015,5,Summer,14.5,529.5,177.6,40.6,21.9,36.0,0.11,16.9,26.9,26.9,Good,1.0,Anomaly,-0.57286,0
Bangalore,2015-05-16,2015,5,Summer,470.5,53.0,131.7,58.5,243.8,13.9,8.38,8.8,52.6,179.7,Moderate,0.0,Normal,-0.54292,1
Bangalore,2015-05-17,2015,5,Summer,107.2,465.9,146.5,146.8,38.4,19.7,1.25,96.6,38.1,451.1,Severe,0.0,Normal,-0.54237,0
Bangalore,2015-05-18,2015,5,Summer,137.5,446.2,42.2,113.9,77.1,28.8,6.57,40.4,177.3,422.8,Severe,0.0,Normal,-0.48554,0
Bangalore,2015-05-19,2015,5,Summer,58.5,505.1,89.9,66.6,158.9,25.0,1.11,68.0,59.9,97.5,Satisfactory,0.0,Normal,-0.49197,1
Bangalore,2015-05-20,2015,5,Summer,302.6,440.2,189.1,64.9,246.5,31.5,5.94,62.2,123.5,452.6,Severe,0.0,Normal,-0.49558,1
Bangalore,2015-05-21,2015,5,Summer,427.6,544.6,111.3,21.4,224.4,12.8,4.82,59.7,128.8,142.1,Moderate,0.0,Normal,-0.50896,1
Bangalore,2015-05-22,2015,5,Summer,209.4,196.1,30.9,13.1,174.1,26.8,6.47,17.9,72.9,368.8,Very Poor,0.0,Normal,-0.48906,1
Bangalore,2015-05-23,2015,5,Summer,23.4,298.2,134.7,147.6,151.5,44.3,2.51,8.1,150.6,248.2,Poor,0.0,Normal,-0.53279,1
Bangalore,2015-05-24,2015,5,Summer,30.4,54.7,24.0,47.1,79.0,0.3,8.16,99.1,90.2,176.9,Moderate,1.0,Anomaly,-0.56837,0
Bangalore,2015-05-25,2015,5,Summer,346.8,589.5,75.4,53.4,91.0,40.4,1.82,37.5,144.4,496.8,Severe,0.0,Normal,-0.49668,0
Bangalore,2015-05-26,2015,5,Summer,350.2,197.1,191.8,100.9,39.1,12.7,7.79,69.7,21.7,172.3,Moderate,0.0,Normal,-0.50079,0
Bangalore,2015-05-27,2015,5,Summer,468.9,556.6,26.9,84.1,221.5,44.5,1.14,13.4,116.6,124.1,Moderate,0.0,Normal,-0.55536,1
Bangalore,2015-05-28,2015,5,Summer,462.3,111.8,83.3,71.1,62.5,33.3,6.51,66.6,59.7,156.3,Moderate,0.0,Normal,-0.48382,0
Bangalore,2015-05-29,2015,5,Summer,143.9,539.8,93.2,146.0,147.4,42.5,1.68,60.1,164.2,318.6,Very Poor,0.0,Normal,-0.51632,1
Bangalore,2015-05-30,2015,5,Summer,91.3,77.0,18.0,133.9,50.9,41.4,3.58,7.9,120.5,202.0,Poor,0.0,Normal,-0.53474,0
Bangalore,2015-05-31,2015,5,Summer,417.1,202.2,76.9,142.9,239.1,37.1,6.42,46.4,118.3,168.2,Moderate,0.0,Normal,-0.49629,1
Bangalore,2015-06-01,2015,6,Summer,272.8,149.5,193.1,62.6,77.6,29.9,7.27,51.0,63.7,422.8,Severe,0.0,Normal,-0.47318,0
Bangalore,2015-06-02,2015,6,Summer,320.5,384.1,57.9,44.9,140.4,40.8,8.71,82.3,59.8,470.5,Severe,0.0,Normal,-0.49979,1
Bangalore,2015-06-03,2015,6,Summer,310.3,110.5,184.3,68.1,155.9,46.5,0.13,65.0,145.7,460.3,Severe,0.0,Normal,-0.5263,1
Bangalore,2015-06-04,2015,6,Summer,124.1,317.4,22.0,101.6,78.7,34.5,9.87,64.0,118.6,303.4,Very Poor,0.0,Normal,-0.50927,0
Bangalore,2015-06-05,2015,6,Summer,9.8,468.0,0.5,104.1,169.1,12.1,9.29,93.7,24.9,454.1,Severe,1.0,Anomaly,-0.5658,1
Bangalore,2015-06-06,2015,6,Summer,371.4,274.8,93.4,118.8,84.7,47.4,7.8,63.8,130.0,224.8,Poor,0.0,Normal,-0.49319,0
Bangalore,2015-06-07,2015,6,Summer,363.3,298.5,11.3,62.2,185.6,14.6,2.86,88.3,10.1,248.5,Poor,0.0,Normal,-0.51988,1
Bangalore,2015-06-08,2015,6,Summer,42.0,432.7,189.3,108.5,86.1,30.7,0.88,1.3,77.6,403.4,Severe,0.0,Normal,-0.53128,0
Bangalore,2015-06-09,2015,6,Summer,428.2,460.9,179.7,127.6,165.2,44.0,9.2,91.8,18.3,443.9,Severe,0.0,Normal,-0.5582,1
Bangalore,2015-06-10,2015,6,Summer,342.5,365.6,27.5,23.5,175.3,29.8,2.52,46.7,52.4,492.5,Severe,0.0,Normal,-0.48724,1
Bangalore,2015-06-11,2015,6,Summer,181.4,409.7,5.3,43.3,169.7,37.2,6.2,36.4,183.5,374.6,Very Poor,0.0,Normal,-0.50399,1
Bangalore,2015-06-12,2015,6,Summer,343.7,371.3,86.8,81.6,138.0,31.2,2.5,80.2,146.3,493.7,Severe,0.0,Normal,-0.46821,1
Bangalore,2015-06-13,2015,6,Summer,98.6,437.9,5.6,63.8,11.1,28.0,9.17,65.9,92.3,410.9,Severe,0.0,Normal,-0.53267,0
Bangalore,2015-06-14,2015,6,Summer,441.3,14.2,61.1,100.8,60.2,15.7,8.17,74.3,129.5,177.1,Moderate,0.0,Normal,-0.5136,0
Bangalore,2015-06-15,2015,6,Summer,194.0,507.3,141.3,77.8,199.2,40.3,1.45,82.1,144.8,357.0,Very Poor,0.0,Normal,-0.49248,1
