PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Actual,Pred_Baseline (prior),Pred_Logistic Regression,Pred_Decision Tree,Pred_Random Forest,Pred_Hist Gradient Boosting
178.6,106.1,24.7,58.8,229.5,30.4,8.06,23.1,177.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
331.3,359.6,161.8,60.9,234.4,37.1,6.43,17.8,163.4,Severe,Very Poor,Poor,Severe,Severe,Severe
223.5,316.2,137.9,78.5,22.9,22.4,6.67,50.5,140.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
168.9,523.1,193.9,92.5,64.1,7.7,1.62,83.6,174.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
487.1,574.2,142.0,69.1,137.0,14.8,4.36,5.2,171.5,Poor,Very Poor,Severe,Poor,Poor,Poor
92.9,547.0,190.4,121.8,0.1,5.4,2.22,38.7,21.2,Poor,Very Poor,Very Poor,Poor,Poor,Poor
387.8,301.6,171.3,121.6,173.4,5.0,3.49,70.9,23.9,Poor,Very Poor,Moderate,Poor,Poor,Poor
422.4,530.5,49.9,116.2,46.4,40.0,8.93,60.9,52.1,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
433.6,353.5,37.1,91.8,132.0,43.0,6.12,14.4,38.0,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
397.6,348.7,72.1,139.2,204.2,49.9,7.53,50.5,65.8,Poor,Very Poor,Moderate,Poor,Poor,Poor
128.6,292.4,29.4,99.7,31.5,23.6,7.58,39.4,39.0,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
395.3,89.1,69.8,131.0,91.0,22.9,3.59,92.3,127.2,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
425.8,557.5,170.7,69.1,39.4,21.7,4.05,63.7,1.3,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
231.6,38.8,73.4,123.1,34.3,45.4,9.23,67.7,147.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
32.1,68.2,170.7,43.7,15.9,37.3,3.63,13.3,77.1,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
461.2,582.1,83.5,103.5,66.3,29.4,0.16,69.3,2.7,Moderate,Very Poor,Satisfactory,Moderate,Moderate,Moderate
397.8,523.7,29.1,122.9,82.7,19.5,6.86,67.7,191.9,Poor,Very Poor,Severe,Poor,Poor,Poor
43.4,166.8,13.1,125.3,58.7,18.3,2.66,63.6,88.8,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
220.4,501.4,156.3,31.0,69.0,10.1,9.5,83.9,91.6,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
278.9,360.5,197.0,99.2,51.4,1.7,4.19,50.3,17.3,Severe,Very Poor,Moderate,Severe,Severe,Severe
63.9,32.6,88.5,87.5,98.5,26.7,8.68,83.1,89.2,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
268.5,539.5,103.9,22.3,20.9,45.0,4.17,84.7,81.7,Severe,Very Poor,Severe,Severe,Severe,Very Poor
42.8,525.7,143.6,131.8,70.1,33.4,3.62,39.9,136.3,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
54.8,571.8,189.9,59.6,55.0,13.0,8.16,95.4,37.6,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
243.1,451.1,33.6,124.4,211.3,34.8,8.89,59.3,98.8,Severe,Very Poor,Severe,Severe,Severe,Severe
183.2,69.7,198.4,97.7,19.3,10.7,7.56,35.9,104.5,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
173.1,46.9,97.6,70.2,134.6,28.7,3.61,4.5,171.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
81.3,597.7,151.6,46.5,16.4,48.8,0.86,46.2,184.8,Poor,Very Poor,Poor,Poor,Poor,Satisfactory
423.0,56.4,3.7,16.5,216.5,2.4,9.74,36.7,62.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
129.7,160.7,197.0,101.1,117.9,37.0,7.66,49.2,172.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
282.4,6.6,47.6,128.1,76.5,46.8,7.82,25.0,157.9,Severe,Very Poor,Poor,Severe,Severe,Severe
308.0,364.1,197.4,3.4,95.1,47.1,8.23,68.9,15.9,Severe,Very Poor,Moderate,Severe,Severe,Severe
418.9,508.2,195.9,53.9,40.4,13.4,1.34,28.8,197.9,Poor,Very Poor,Severe,Poor,Poor,Very Poor
0.5,293.3,190.4,75.8,182.5,45.6,7.07,51.8,59.4,Poor,Very Poor,Very Poor,Poor,Poor,Poor
379.3,202.5,47.6,95.4,135.2,5.0,2.34,82.8,69.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
285.0,339.5,11.5,9.5,19.0,3.1,3.22,44.0,184.8,Severe,Very Poor,Poor,Severe,Severe,Severe
355.3,109.5,179.3,70.2,104.1,26.2,8.27,86.7,191.5,Poor,Very Poor,Poor,Poor,Poor,Poor
147.1,378.3,23.4,84.6,239.5,49.2,3.47,77.7,82.0,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Satisfactory
59.0,144.6,187.9,91.2,7.1,43.2,4.64,45.6,101.4,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
116.4,300.0,28.7,30.9,184.2,23.5,3.68,23.0,103.4,Poor,Very Poor,Very Poor,Poor,Poor,Poor
145.3,53.7,149.2,97.9,137.1,1.5,5.2,88.6,28.4,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
79.1,118.7,111.6,18.9,156.2,0.7,8.12,40.0,14.7,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
174.7,484.4,32.0,80.4,194.1,48.3,1.28,95.9,136.5,Severe,Very Poor,Very Poor,Severe,Severe,Very Poor
256.0,116.5,7.2,44.2,4.0,34.1,4.05,20.5,108.3,Severe,Very Poor,Poor,Severe,Severe,Severe
234.6,448.5,54.6,93.4,183.0,44.3,7.34,79.0,194.1,Severe,Very Poor,Poor,Severe,Severe,Severe
214.1,424.5,94.9,28.0,98.7,22.1,3.35,90.7,193.8,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
65.9,83.2,155.1,121.5,238.7,26.8,1.29,49.2,47.2,Moderate,Very Poor,Very Poor,Moderate,Moderate,Very Poor
195.6,112.9,11.6,84.9,30.5,45.1,7.65,80.6,48.2,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
351.0,50.1,69.7,118.9,235.0,7.6,4.05,13.0,78.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
230.0,503.6,41.4,134.6,209.7,4.1,5.0,96.4,147.6,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
266.1,237.6,42.7,134.2,173.1,45.3,4.66,87.1,68.3,Severe,Very Poor,Moderate,Severe,Severe,Severe
474.5,284.6,147.6,122.7,12.0,34.2,8.06,54.8,116.4,Poor,Very Poor,Severe,Poor,Poor,Poor
355.9,417.6,182.8,5.5,64.6,6.8,0.31,22.2,140.9,Very Poor,Very Poor,Good,Moderate,Very Poor,Severe
328.8,3.8,198.3,88.5,8.8,14.0,1.76,91.4,114.8,Severe,Very Poor,Moderate,Severe,Severe,Severe
343.7,21.2,115.0,96.8,106.6,24.0,7.29,75.1,24.2,Severe,Very Poor,Moderate,Severe,Severe,Severe
165.5,405.5,75.4,4.3,92.8,13.1,7.33,76.4,71.2,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
308.2,394.2,75.5,135.8,15.5,47.2,0.56,50.5,92.3,Severe,Very Poor,Severe,Severe,Severe,Severe
277.3,239.2,192.3,4.4,202.7,41.6,0.81,50.1,69.2,Severe,Very Poor,Good,Moderate,Severe,Severe
149.4,0.1,26.6,3.6,191.9,29.2,7.39,89.3,48.9,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
460.1,2.2,21.9,93.7,91.0,44.8,8.17,93.5,100.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
425.0,91.2,32.1,75.1,12.0,40.1,3.38,52.9,191.4,Poor,Very Poor,Poor,Poor,Poor,Poor
398.5,571.8,173.8,28.7,76.1,1.3,5.54,79.3,187.6,Poor,Very Poor,Severe,Poor,Poor,Poor
270.5,40.6,101.9,114.0,123.9,24.8,8.7,87.4,40.2,Severe,Very Poor,Moderate,Severe,Severe,Severe
225.7,556.2,122.6,3.7,246.7,46.7,1.61,14.3,125.8,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
232.4,124.5,183.8,6.0,70.0,21.9,2.89,52.3,181.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
261.5,89.7,185.3,118.8,101.7,0.9,5.51,40.6,24.6,Severe,Very Poor,Moderate,Severe,Severe,Severe
76.8,335.7,106.6,16.9,55.4,42.7,0.08,68.1,89.4,Poor,Very Poor,Satisfactory,Moderate,Poor,Poor
385.3,7.6,102.3,83.5,107.9,25.3,3.86,9.3,143.8,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
137.9,289.3,95.6,17.9,116.4,30.0,7.02,17.0,98.7,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor
304.6,388.5,133.7,5.4,209.5,23.6,5.97,65.5,190.1,Severe,Very Poor,Poor,Severe,Severe,Severe
169.8,267.6,80.7,96.3,95.7,39.3,8.86,22.7,116.0,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
305.8,230.3,53.6,36.9,31.0,7.2,2.46,8.0,12.3,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
148.0,177.4,94.6,142.7,127.8,17.2,3.28,83.6,105.0,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
187.2,96.2,3.4,55.7,227.1,45.4,0.09,12.0,174.0,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Poor
484.9,53.5,110.1,47.9,109.1,40.3,9.3,47.3,36.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
324.7,258.7,83.7,31.7,242.7,46.7,9.94,74.8,65.7,Severe,Very Poor,Moderate,Severe,Severe,Severe
419.9,162.0,112.7,117.1,183.6,1.0,1.0,3.5,184.2,Poor,Very Poor,Poor,Poor,Poor,Very Poor
492.4,589.9,57.5,10.1,53.7,32.9,9.55,19.1,167.8,Moderate,Very Poor,Severe,Moderate,Moderate,Poor
280.4,202.0,103.0,7.6,72.3,16.8,3.01,44.2,127.3,Severe,Very Poor,Poor,Severe,Severe,Severe
454.3,430.9,49.0,71.6,162.6,15.5,6.94,25.9,36.9,Moderate,Very Poor,Severe,Severe,Severe,Severe
4.1,431.0,61.1,118.3,34.5,16.0,8.19,76.4,33.4,Severe,Very Poor,Very Poor,Severe,Severe,Severe
205.9,89.8,39.5,144.5,246.3,11.8,7.67,13.3,52.4,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
10.6,341.8,162.5,101.1,184.9,48.5,2.25,8.7,75.0,Poor,Very Poor,Very Poor,Poor,Poor,Poor
147.4,103.8,45.6,2.2,131.2,47.6,8.21,78.0,104.6,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
8.4,407.6,187.8,106.5,25.5,11.7,5.31,94.3,90.2,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
466.5,170.8,105.4,77.4,117.0,9.7,1.67,89.3,30.2,Moderate,Very Poor,Satisfactory,Moderate,Moderate,Moderate
367.1,317.4,73.4,61.3,240.7,28.8,7.02,63.4,98.5,Poor,Very Poor,Severe,Poor,Poor,Poor
408.1,369.6,176.2,24.9,116.4,47.6,5.35,68.4,8.2,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
157.8,130.9,185.3,119.6,7.8,46.6,5.6,31.2,171.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
346.9,534.3,145.5,113.1,163.2,25.4,6.53,25.1,159.3,Severe,Very Poor,Severe,Severe,Severe,Severe
210.0,121.4,12.7,96.8,55.2,39.3,2.14,77.7,53.8,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
260.0,44.6,8.8,94.1,17.3,3.7,9.55,80.0,40.9,Severe,Very Poor,Moderate,Severe,Severe,Severe
166.8,276.2,190.5,125.5,53.8,36.5,1.28,39.2,151.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
110.5,339.4,140.5,74.1,178.7,33.6,1.34,49.9,79.4,Poor,Very Poor,Very Poor,Satisfactory,Poor,Severe
365.2,317.7,8.1,122.3,116.2,21.0,5.39,37.6,38.6,Poor,Very Poor,Moderate,Poor,Poor,Poor
437.7,225.2,96.7,29.2,156.9,16.7,9.73,66.9,188.9,Poor,Very Poor,Poor,Poor,Poor,Poor
409.2,410.0,142.1,45.4,48.7,42.0,1.96,92.4,10.6,Very Poor,Very Poor,Satisfactory,Satisfactory,Very Poor,Very Poor
446.6,381.4,132.9,126.4,113.3,45.7,8.5,0.5,189.8,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
157.5,480.8,6.3,113.8,201.1,49.3,1.23,7.7,109.6,Severe,Very Poor,Very Poor,Severe,Severe,Very Poor
28.6,507.2,150.7,132.7,93.1,0.2,1.53,47.8,63.9,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
70.6,433.1,131.1,130.9,136.2,48.5,4.42,67.3,138.3,Severe,Very Poor,Very Poor,Severe,Severe,Severe
5.1,284.9,133.8,15.0,246.9,35.4,1.32,90.0,28.2,Poor,Very Poor,Satisfactory,Good,Poor,Poor
13.0,301.2,98.0,65.0,145.6,29.2,8.35,13.6,8.2,Poor,Very Poor,Very Poor,Poor,Poor,Poor
27.7,263.6,34.2,98.2,170.6,44.2,2.72,81.1,128.5,Poor,Very Poor,Very Poor,Poor,Poor,Poor
313.7,297.7,146.0,79.5,208.5,27.3,9.55,73.7,52.1,Severe,Very Poor,Moderate,Severe,Severe,Severe
433.8,420.5,186.2,139.3,70.1,9.6,0.12,88.9,184.5,Very Poor,Very Poor,Severe,Poor,Very Poor,Poor
254.2,274.3,123.4,103.7,27.8,14.8,3.23,25.4,4.6,Severe,Very Poor,Moderate,Severe,Severe,Severe
82.7,541.7,16.7,105.9,197.9,47.5,4.81,13.6,68.2,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
457.0,3.7,82.3,60.1,94.8,28.4,3.56,28.2,32.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
228.4,480.5,30.0,97.4,238.9,17.8,8.4,56.6,119.7,Severe,Very Poor,Severe,Severe,Severe,Severe
318.3,242.5,100.7,85.1,118.3,25.6,9.4,75.2,56.7,Severe,Very Poor,Moderate,Severe,Severe,Severe
486.3,314.4,91.3,98.0,96.7,32.4,0.22,97.2,130.2,Poor,Very Poor,Severe,Satisfactory,Poor,Severe
356.4,231.5,86.1,45.9,222.6,28.3,6.3,39.7,115.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
287.8,430.2,163.5,26.2,166.0,36.8,9.28,49.3,33.8,Severe,Very Poor,Severe,Severe,Severe,Severe
92.2,369.7,174.0,82.4,41.6,4.6,2.57,33.3,16.9,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
228.2,384.7,78.8,98.5,80.7,18.8,6.81,99.9,21.6,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
476.1,323.7,37.0,69.2,224.9,22.1,0.97,68.5,62.5,Poor,Very Poor,Satisfactory,Poor,Poor,Very Poor
407.1,273.6,168.4,36.7,214.1,34.4,0.14,18.1,86.5,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
132.5,342.2,69.3,57.8,174.4,18.3,6.38,97.6,137.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
444.5,415.4,12.4,12.0,219.8,42.4,5.89,34.7,120.6,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Severe
0.6,565.0,36.4,139.6,81.5,26.0,5.31,14.7,71.3,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
452.9,106.4,6.6,126.2,76.2,22.7,5.81,58.9,115.2,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
76.4,512.0,136.5,39.1,184.8,6.7,7.12,78.6,113.1,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
356.3,209.4,37.8,50.4,102.3,5.7,2.11,93.6,97.1,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
222.8,177.1,74.8,50.9,230.2,25.1,8.41,50.8,195.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
498.1,321.0,84.7,53.2,71.3,37.0,7.39,10.8,156.3,Poor,Very Poor,Severe,Poor,Poor,Poor
496.6,323.7,127.2,139.8,91.5,33.1,7.45,86.4,66.3,Poor,Very Poor,Moderate,Poor,Poor,Poor
106.3,404.2,75.0,132.8,14.9,9.7,7.51,21.5,111.1,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
330.1,509.9,0.1,31.5,97.9,19.4,1.26,75.8,51.9,Severe,Very Poor,Satisfactory,Severe,Severe,Very Poor
208.0,450.9,135.6,146.6,76.6,21.0,0.62,6.2,11.8,Severe,Very Poor,Satisfactory,Very Poor,Severe,Very Poor
263.3,391.3,5.3,142.9,175.7,19.5,1.27,30.2,3.9,Severe,Very Poor,Satisfactory,Severe,Severe,Very Poor
34.4,440.2,198.4,15.1,209.9,7.2,5.8,93.3,18.4,Severe,Very Poor,Very Poor,Severe,Severe,Poor
370.9,380.1,103.2,118.2,46.5,22.1,2.51,87.3,196.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
354.8,560.0,163.4,122.0,105.8,43.0,0.97,33.9,136.6,Moderate,Very Poor,Severe,Moderate,Moderate,Very Poor
418.6,212.5,25.2,15.8,202.9,34.4,2.34,85.5,141.7,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
261.5,36.7,43.7,119.5,232.8,35.2,6.76,46.8,88.5,Severe,Very Poor,Moderate,Severe,Severe,Severe
243.3,188.7,145.5,92.2,244.0,2.5,4.17,26.9,115.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
74.2,277.8,143.2,81.1,173.7,26.4,4.8,38.6,108.0,Poor,Very Poor,Very Poor,Poor,Poor,Poor
309.9,435.7,20.4,135.2,74.9,7.9,3.91,62.4,32.0,Severe,Very Poor,Severe,Severe,Severe,Severe
283.4,540.9,137.6,137.6,156.0,5.4,3.23,3.8,164.5,Severe,Very Poor,Severe,Severe,Severe,Severe
262.1,104.6,81.6,82.5,26.4,32.6,8.58,52.5,52.8,Severe,Very Poor,Moderate,Severe,Severe,Severe
415.5,160.8,51.6,127.4,150.0,13.4,5.39,36.6,80.1,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
55.3,503.7,124.4,54.2,139.8,42.4,5.6,60.7,80.3,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
217.9,177.0,104.2,22.6,235.8,17.8,9.7,51.9,20.9,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
189.1,15.0,54.5,107.8,95.8,7.2,9.55,66.9,75.2,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
213.0,403.4,63.3,30.7,221.2,38.7,0.11,81.1,185.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
141.6,93.3,150.4,23.4,233.3,16.8,9.0,41.6,57.5,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
422.9,179.7,23.5,54.5,233.5,38.4,3.64,95.3,62.4,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
264.6,520.1,195.9,149.7,63.0,18.6,6.6,91.8,139.7,Severe,Very Poor,Severe,Severe,Severe,Severe
407.4,356.3,46.4,141.4,79.1,25.7,5.81,95.5,99.8,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
186.0,387.7,156.0,106.5,124.3,33.0,8.31,1.2,159.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
437.4,486.3,1.3,88.3,199.6,21.2,0.45,48.1,140.8,Severe,Very Poor,Satisfactory,Very Poor,Severe,Moderate
147.8,64.7,130.1,92.4,62.7,1.8,4.0,74.7,79.9,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
57.7,190.4,145.5,64.7,168.6,26.9,3.77,6.9,188.6,Poor,Very Poor,Poor,Poor,Poor,Poor
303.3,147.7,64.1,122.6,69.6,13.6,7.17,60.0,114.3,Severe,Very Poor,Moderate,Severe,Severe,Severe
309.8,310.3,43.6,30.1,107.8,43.6,4.89,5.1,49.4,Severe,Very Poor,Moderate,Severe,Severe,Severe
297.3,258.7,135.1,145.8,218.2,36.9,3.91,95.3,158.0,Severe,Very Poor,Poor,Severe,Severe,Severe
257.5,585.0,39.0,86.2,9.1,34.3,0.96,36.3,48.8,Severe,Very Poor,Satisfactory,Severe,Severe,Very Poor
77.0,39.9,3.3,67.6,203.1,34.2,3.11,41.8,80.7,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
229.2,590.0,170.2,129.1,145.9,10.1,0.98,40.8,181.7,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
357.1,286.0,175.4,112.4,192.2,36.1,0.1,26.9,105.0,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
70.9,312.4,39.1,115.0,212.9,7.4,5.29,80.1,195.4,Poor,Very Poor,Poor,Poor,Poor,Poor
451.6,81.7,15.4,2.8,131.3,41.9,8.21,53.5,133.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
370.8,312.6,78.1,62.5,151.6,19.3,1.66,8.9,47.7,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
393.5,152.5,98.8,137.8,6.2,16.3,8.9,82.4,47.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
329.4,416.7,99.0,132.1,168.4,9.9,0.11,84.6,179.8,Severe,Very Poor,Poor,Severe,Severe,Very Poor
420.5,167.9,181.2,135.9,229.3,13.8,9.88,31.3,88.9,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
186.4,564.8,2.8,62.2,145.5,48.3,9.58,40.6,170.3,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
57.1,586.4,42.2,54.0,128.1,40.4,6.48,60.3,191.9,Poor,Very Poor,Poor,Poor,Poor,Poor
159.2,153.3,28.6,77.2,119.1,9.0,5.65,10.0,170.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
443.7,99.7,98.3,116.1,127.3,24.8,7.59,10.1,18.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
204.8,198.2,163.8,1.8,212.9,24.6,1.79,37.6,129.3,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
483.8,272.3,131.7,125.1,96.8,29.9,8.06,52.0,184.7,Poor,Very Poor,Poor,Poor,Poor,Poor
63.1,138.7,165.1,33.1,1.1,27.0,1.79,14.6,189.9,Poor,Very Poor,Poor,Very Poor,Poor,Poor
222.7,279.9,26.0,102.4,77.3,13.4,5.67,1.1,146.4,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
118.8,107.9,43.8,143.9,173.7,23.8,5.14,68.2,8.5,Poor,Very Poor,Moderate,Poor,Poor,Poor
239.4,486.5,59.1,135.3,34.1,20.7,7.96,79.6,150.8,Severe,Very Poor,Severe,Severe,Severe,Severe
150.5,375.7,100.7,23.8,161.4,24.2,6.21,96.6,86.1,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
373.5,171.1,52.6,128.8,80.6,47.3,8.17,88.7,192.1,Poor,Very Poor,Poor,Poor,Poor,Poor
223.0,179.4,133.8,83.3,70.9,3.3,0.5,57.8,156.4,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Severe
213.7,507.7,7.0,25.7,184.7,0.3,9.58,30.3,136.7,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
92.5,245.9,158.8,4.3,87.8,48.9,8.75,68.3,167.6,Poor,Very Poor,Poor,Poor,Poor,Poor
272.9,92.3,187.3,124.2,153.8,39.0,8.66,88.7,128.5,Severe,Very Poor,Moderate,Severe,Severe,Severe
79.4,455.6,166.8,127.1,6.5,47.0,7.85,19.6,83.9,Severe,Very Poor,Very Poor,Severe,Severe,Severe
222.2,379.1,62.8,83.5,39.2,0.2,0.23,28.8,120.1,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
123.9,256.6,118.4,4.5,22.7,34.2,2.38,10.6,94.3,Very Poor,Very Poor,Good,Very Poor,Very Poor,Very Poor
448.3,543.0,17.0,72.8,225.8,46.3,9.72,13.7,31.3,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
207.6,199.7,41.9,27.8,135.2,14.4,8.8,9.7,173.1,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
375.3,561.5,21.2,41.1,97.0,39.7,0.57,25.5,17.3,Satisfactory,Very Poor,Satisfactory,Satisfactory,Satisfactory,Poor
286.9,358.6,99.7,38.3,197.4,41.2,0.86,27.5,122.6,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
168.1,575.1,85.1,129.3,130.9,22.2,7.67,79.9,110.7,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
