Year,Month,Month_Name,Avg_PM2.5,Avg_PM10,Avg_NO,Avg_NO2,Avg_NOx,Avg_NH3,Avg_CO,Avg_SO2,Avg_O3,Avg_AQI,Observation_Count,Season,Dominant_AQI_Category,Year_Month
2018,2,February,229.716,276.524,95.1,82.306,125.716,26.082,4.516,48.151,99.652,322.479,140,Winter,Very Poor,2018-02
2018,3,March,255.692,283.904,103.179,68.361,124.312,25.48,5.321,49.641,104.148,308.601,155,Winter,Severe,2018-03
2018,4,April,244.183,313.794,93.176,78.485,123.511,27.032,5.256,52.013,93.666,304.934,150,Summer,Severe,2018-04
2018,5,May,280.388,288.606,110.726,72.883,121.35,25.317,4.98,50.903,102.414,317.785,155,Summer,Severe,2018-05
2018,6,June,256.201,281.648,90.985,74.837,134.532,22.307,4.956,56.016,104.481,316.4,150,Summer,Severe,2018-06
2018,7,July,250.143,309.818,105.202,71.137,135.061,25.965,4.928,48.082,102.612,314.965,155,Monsoon,Very Poor,2018-07
2018,8,August,260.611,315.372,103.748,76.129,126.276,25.762,5.019,48.541,102.013,321.772,155,Monsoon,Severe,2018-08
2018,9,September,235.564,295.821,105.682,76.737,119.606,24.99,5.228,49.074,100.735,327.23,150,Monsoon,Very Poor,2018-09
2018,10,October,250.855,299.385,100.052,78.806,127.447,24.224,5.01,50.393,93.803,312.925,155,Post-Monsoon,Very Poor,2018-10
2018,11,November,257.632,316.063,97.382,72.536,130.592,25.297,4.821,50.765,98.751,314.799,150,Post-Monsoon,Very Poor,2018-11
2018,12,December,234.002,311.665,94.62,76.526,114.694,23.223,4.766,49.992,94.99,314.985,155,Post-Monsoon,Severe,2018-12
2019,1,January,239.97,296.434,100.211,64.912,120.511,25.786,4.992,51.356,99.509,312.981,155,Winter,Very Poor,2019-01
2019,2,February,249.524,292.909,103.672,78.373,128.996,27.341,5.131,49.572,103.008,320.218,140,Winter,Severe,2019-02
2019,3,March,249.957,276.17,104.097,75.063,132.479,23.534,5.037,50.319,94.192,306.825,155,Winter,Very Poor,2019-03
2019,4,April,247.771,315.398,101.791,75.613,127.931,24.548,4.603,46.573,104.359,316.121,150,Summer,Very Poor,2019-04
2019,5,May,261.796,276.764,101.33,74.142,118.967,23.928,4.76,52.934,96.448,319.736,155,Summer,Severe,2019-05
2019,6,June,248.539,302.344,109.266,74.59,125.497,24.581,4.99,51.139,104.021,304.529,150,Summer,Very Poor,2019-06
2019,7,July,259.073,278.092,98.963,76.154,126.132,26.02,5.566,51.683,100.074,328.403,155,Monsoon,Very Poor,2019-07
2019,8,August,258.788,315.406,98.421,69.633,120.674,24.54,5.002,47.283,96.881,320.417,155,Monsoon,Severe,2019-08
2019,9,September,253.643,304.552,108.729,74.882,124.709,25.407,4.777,47.566,103.184,312.227,150,Monsoon,Very Poor,2019-09
2019,10,October,262.19,303.418,106.628,79.986,130.678,25.728,5.109,49.521,105.59,328.217,155,Post-Monsoon,Severe,2019-10
2019,11,November,258.343,318.793,104.595,75.423,125.627,25.073,5.219,42.429,98.713,331.431,150,Post-Monsoon,Very Poor,2019-11
2019,12,December,226.324,293.323,99.386,76.063,137.963,26.356,5.228,47.872,99.669,304.391,155,Post-Monsoon,Very Poor,2019-12
2020,1,January,262.808,288.066,95.885,74.761,120.535,22.421,4.28,47.94,87.896,313.082,155,Winter,Severe,2020-01
2020,2,February,246.504,291.454,97.498,76.387,127.64,24.985,4.963,49.597,107.882,324.45,145,Winter,Very Poor,2020-02
2020,3,March,249.537,315.315,93.796,77.246,123.312,24.21,4.985,50.534,101.461,317.356,155,Winter,Severe,2020-03
2020,4,April,259.353,321.228,102.768,74.185,125.852,25.713,5.034,52.279,110.059,310.412,150,Summer,Severe,2020-04
2020,5,May,255.783,277.554,97.218,69.039,131.131,23.717,4.714,46.544,101.835,320.514,155,Summer,Severe,2020-05
2020,6,June,245.729,316.939,104.085,72.144,125.828,24.197,4.901,43.922,103.716,317.433,150,Summer,Severe,2020-06
2020,7,July,261.821,277.4,105.864,73.119,120.324,25.083,4.527,48.961,94.912,320.835,155,Monsoon,Severe,2020-07
2020,8,August,277.841,303.622,102.286,78.001,128.013,23.29,4.878,50.436,99.732,328.832,155,Monsoon,Very Poor,2020-08
2020,9,September,268.495,277.302,103.425,73.001,129.177,24.983,4.93,50.869,100.367,325.325,150,Monsoon,Severe,2020-09
2020,10,October,262.304,293.597,101.697,76.028,131.87,22.667,4.493,52.108,98.648,312.305,155,Post-Monsoon,Severe,2020-10
2020,11,November,240.601,284.71,111.672,80.08,126.965,27.149,4.946,48.345,91.657,296.978,150,Post-Monsoon,Very Poor,2020-11
2020,12,December,248.588,290.51,106.921,79.758,127.998,26.15,4.816,46.901,97.682,302.2,155,Post-Monsoon,Very Poor,2020-12
2021,1,January,249.299,315.614,103.985,79.239,122.891,24.706,5.047,49.603,99.894,311.398,155,Winter,Very Poor,2021-01
2021,2,February,236.008,309.017,98.181,76.065,125.644,26.803,5.202,49.421,98.203,304.781,140,Winter,Moderate,2021-02
2021,3,March,271.701,275.161,100.897,74.788,117.397,26.26,4.541,47.814,99.935,318.314,155,Winter,Severe,2021-03
2021,4,April,256.767,298.813,95.641,71.305,119.279,24.339,5.041,51.295,100.995,321.025,150,Summer,Very Poor,2021-04
2021,5,May,251.574,308.068,100.666,76.419,118.283,25.577,4.986,52.41,96.766,319.684,155,Summer,Severe,2021-05
2021,6,June,251.901,314.337,93.587,70.566,118.477,23.621,5.337,53.192,111.995,318.142,150,Summer,Severe,2021-06
2021,7,July,248.108,267.846,102.458,77.355,123.403,24.403,5.315,50.101,101.61,311.249,155,Monsoon,Very Poor,2021-07
2021,8,August,246.532,316.938,95.105,74.437,121.465,26.44,5.233,48.325,101.845,311.314,155,Monsoon,Very Poor,2021-08
2021,9,September,251.227,283.215,102.356,82.248,121.111,24.105,5.057,48.953,105.447,324.607,150,Monsoon,Severe,2021-09
2021,10,October,252.277,302.04,97.723,75.337,119.841,25.321,5.189,49.705,94.874,326.527,155,Post-Monsoon,Severe,2021-10
2021,11,November,264.014,293.519,100.945,78.327,134.781,25.9,5.27,47.449,103.195,321.183,150,Post-Monsoon,Very Poor,2021-11
2021,12,December,246.414,276.412,104.61,76.203,125.274,24.82,5.471,49.472,98.492,306.582,155,Post-Monsoon,Moderate,2021-12
2022,1,January,240.969,301.94,99.791,77.101,120.132,24.725,4.836,51.166,109.388,320.148,155,Winter,Very Poor,2022-01
2022,2,February,260.785,288.826,97.934,81.181,123.481,25.579,5.145,49.173,101.768,334.109,140,Winter,Severe,2022-02
2022,3,March,259.923,294.825,100.541,80.066,120.203,26.458,5.334,49.591,106.621,301.415,155,Winter,Very Poor,2022-03
2022,4,April,253.439,292.52,95.613,77.612,137.145,24.801,4.795,48.505,104.275,309.453,150,Summer,Very Poor,2022-04
2022,5,May,261.323,298.568,102.632,74.957,120.95,25.27,5.078,48.469,106.812,325.639,155,Summer,Very Poor,2022-05
2022,6,June,255.031,296.2,100.008,76.798,125.357,25.92,4.61,51.754,93.905,318.937,150,Summer,Very Poor,2022-06
2022,7,July,258.145,317.206,100.343,74.486,135.156,24.069,5.275,51.823,103.099,322.33,155,Monsoon,Very Poor,2022-07
2022,8,August,259.819,291.166,97.883,73.595,120.122,25.65,4.981,45.218,102.786,314.368,155,Monsoon,Very Poor,2022-08
2022,9,September,248.457,308.997,107.984,77.617,133.949,26.541,5.048,49.519,98.429,319.541,150,Monsoon,Very Poor,2022-09
2022,10,October,257.235,314.712,100.805,70.435,139.419,25.21,4.938,50.563,94.094,318.198,155,Post-Monsoon,Very Poor,2022-10
2022,11,November,258.181,279.685,94.729,76.168,122.874,24.301,4.806,53.36,103.757,292.121,150,Post-Monsoon,Moderate,2022-11
2022,12,December,251.547,303.041,104.425,73.967,126.955,26.26,4.92,50.685,102.616,327.477,155,Post-Monsoon,Severe,2022-12
2023,1,January,243.614,290.231,106.631,71.985,114.006,25.957,5.039,49.155,101.641,311.832,155,Winter,Very Poor,2023-01
2023,2,February,274.421,302.284,89.579,69.531,125.465,23.892,4.447,49.889,97.729,309.346,140,Winter,Severe,2023-02
2023,3,March,241.442,300.254,96.494,79.201,122.288,23.857,5.19,47.222,96.495,318.693,155,Winter,Very Poor,2023-03
2023,4,April,251.645,320.607,103.504,72.921,129.909,25.011,4.922,53.11,106.754,327.409,150,Summer,Severe,2023-04
2023,5,May,257.599,284.345,97.194,78.103,127.108,24.962,4.953,52.731,98.726,322.049,155,Summer,Severe,2023-05
2023,6,June,256.979,301.961,103.269,80.057,133.912,25.727,4.838,52.857,101.925,312.771,150,Summer,Very Poor,2023-06
2023,7,July,239.674,305.91,89.538,76.479,130.495,23.513,4.833,47.748,92.114,307.917,155,Monsoon,Very Poor,2023-07
2023,8,August,238.693,277.837,98.217,74.296,135.283,23.06,5.055,48.726,97.734,321.917,155,Monsoon,Severe,2023-08
2023,9,September,227.991,311.179,104.527,73.43,120.605,26.015,5.019,53.517,102.542,310.805,150,Monsoon,Severe,2023-09
2023,10,October,263.224,330.361,105.979,75.052,126.785,22.422,4.729,50.274,98.369,319.881,155,Post-Monsoon,Severe,2023-10
2023,11,November,247.683,289.705,100.27,76.301,133.655,25.339,5.004,50.735,108.603,328.842,150,Post-Monsoon,Severe,2023-11
2023,12,December,243.646,316.114,101.926,79.719,120.777,23.358,5.009,52.266,99.485,323.424,155,Post-Monsoon,Very Poor,2023-12
2024,1,January,246.628,294.329,99.139,72.576,121.608,24.658,5.155,50.064,97.012,326.295,155,Winter,Severe,2024-01
2024,2,February,237.901,291.459,98.066,71.928,129.27,23.262,4.861,54.119,106.739,326.239,145,Winter,Very Poor,2024-02
2024,3,March,265.529,279.924,100.634,81.673,121.283,25.431,5.019,47.33,104.261,333.714,155,Winter,Very Poor,2024-03
2024,4,April,236.4,298.338,99.905,81.531,124.619,25.069,4.847,51.819,102.464,311.594,150,Summer,Severe,2024-04
2024,5,May,250.703,299.027,97.57,70.652,128.7,26.086,5.264,49.554,94.465,314.234,155,Summer,Very Poor,2024-05
2024,6,June,249.187,289.166,103.786,76.977,119.806,24.509,5.273,49.476,94.317,306.086,150,Summer,Very Poor,2024-06
2024,7,July,254.386,290.697,106.341,76.083,121.297,25.499,5.122,47.8,100.327,324.479,155,Monsoon,Very Poor,2024-07
2024,8,August,250.471,312.19,104.06,73.814,135.865,25.711,4.683,48.115,99.741,319.488,155,Monsoon,Severe,2024-08
2024,9,September,231.836,297.608,104.093,79.725,124.663,24.875,4.795,52.281,101.653,319.594,150,Monsoon,Very Poor,2024-09
2024,10,October,270.178,300.576,101.237,72.101,131.627,23.875,4.834,50.648,101.199,308.141,155,Post-Monsoon,Severe,2024-10
2024,11,November,223.683,289.84,98.378,79.797,126.849,24.095,4.653,52.075,99.201,314.961,150,Post-Monsoon,Very Poor,2024-11
2024,12,December,221.105,303.807,100.742,82.487,119.253,24.423,5.099,50.87,99.998,321.904,155,Post-Monsoon,Very Poor,2024-12
