City,Date,Year,Season,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Cluster,Cluster_Description,PC1,PC2
Bangalore,2015-02-04,2015,Winter,76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,203.1,Poor,0,highest average PM2.5 among clusters,0.6765937286190691,-0.26682975654066393
Bangalore,2015-02-05,2015,Winter,73.8,57.2,114.9,37.9,185.6,6.5,1.48,47.3,86.3,144.7,Moderate,1,lowest average PM2.5 among clusters,0.3274217010498947,-0.9076870354145248
Bangalore,2015-02-06,2015,Winter,56.8,201.4,48.7,121.0,97.0,26.2,9.2,20.6,48.5,190.0,Moderate,0,highest average PM2.5 among clusters,-0.4979706555138589,-1.2065030113277402
Bangalore,2015-02-07,2015,Winter,375.1,280.7,6.4,115.6,116.0,37.8,2.47,4.0,71.1,230.7,Poor,0,highest average PM2.5 among clusters,-0.9647501533467552,-0.3546701436009711
Bangalore,2015-02-08,2015,Winter,287.3,346.6,85.5,114.7,100.5,41.5,4.48,52.6,140.8,437.3,Severe,0,highest average PM2.5 among clusters,-0.24271362834214047,0.4696740034554168
Bangalore,2015-02-09,2015,Winter,270.0,331.6,6.9,4.6,157.0,22.1,9.34,63.3,174.6,420.0,Severe,1,lowest average PM2.5 among clusters,-0.8585224125144172,0.9517717207315011
Bangalore,2015-02-10,2015,Winter,419.1,43.5,80.1,35.5,239.7,28.1,4.99,22.3,40.9,137.2,Moderate,1,lowest average PM2.5 among clusters,-1.4894686917846027,-0.2849482947507056
Bangalore,2015-02-11,2015,Winter,127.8,526.8,179.1,134.0,0.3,33.8,1.79,91.1,14.8,306.2,Very Poor,0,highest average PM2.5 among clusters,2.791754331959653,0.45127710784334024
Bangalore,2015-02-12,2015,Winter,318.1,363.3,79.6,121.0,33.3,31.0,7.97,66.8,172.9,468.1,Severe,0,highest average PM2.5 among clusters,-0.6388504885004127,1.0996261034980308
Bangalore,2015-02-13,2015,Winter,98.7,170.3,76.9,102.2,218.9,36.4,1.24,98.6,72.7,227.3,Poor,1,lowest average PM2.5 among clusters,0.63262554303628,0.19687638748119915
Bangalore,2015-02-14,2015,Winter,308.9,324.1,62.1,77.5,111.0,32.9,5.28,91.4,124.7,458.9,Severe,0,highest average PM2.5 among clusters,0.0064121643732669925,1.4355805679111175
Bangalore,2015-02-15,2015,Winter,148.2,233.0,167.4,70.1,145.2,44.7,2.2,77.6,46.2,321.9,Very Poor,1,lowest average PM2.5 among clusters,1.3811820821602634,0.3469263139176543
Bangalore,2015-02-16,2015,Winter,63.0,58.1,73.3,61.6,249.8,8.5,8.63,6.0,86.4,182.8,Moderate,1,lowest average PM2.5 among clusters,-1.3990617489808523,-2.228833569470249
Bangalore,2015-02-17,2015,Winter,475.1,186.4,157.4,15.7,233.3,37.6,5.58,99.3,137.5,157.7,Moderate,1,lowest average PM2.5 among clusters,-0.6420658007676634,1.76326474289496
Bangalore,2015-02-18,2015,Winter,355.2,376.8,59.8,91.9,224.3,11.6,2.71,52.0,31.8,333.3,Very Poor,1,lowest average PM2.5 among clusters,-0.15398420195453116,-0.704043593538489
Bangalore,2015-02-19,2015,Winter,460.0,531.0,30.1,40.0,53.6,48.3,3.97,46.6,58.9,124.4,Moderate,0,highest average PM2.5 among clusters,0.6121443663049347,1.5726291312016993
Bangalore,2015-02-20,2015,Winter,345.0,217.8,151.5,115.1,219.8,7.6,1.17,32.2,174.7,495.0,Severe,1,lowest average PM2.5 among clusters,-1.1397331108669506,-1.1548513804789926
Bangalore,2015-02-21,2015,Winter,438.0,510.7,160.2,43.7,65.1,46.5,3.85,23.8,30.4,122.9,Moderate,0,highest average PM2.5 among clusters,1.0623582935954032,0.4878189309237537
Bangalore,2015-02-22,2015,Winter,353.4,176.1,177.6,109.3,129.5,0.8,4.88,5.8,51.5,150.9,Moderate,1,lowest average PM2.5 among clusters,-0.8590762832522487,-1.5493424201024457
Bangalore,2015-02-23,2015,Winter,159.9,326.1,132.7,33.0,104.3,13.1,8.86,27.4,139.6,330.9,Very Poor,0,highest average PM2.5 among clusters,-0.08079972945433996,-0.6119618785553895
Bangalore,2015-02-24,2015,Winter,39.4,414.2,64.5,35.7,70.1,49.2,6.17,31.8,96.6,380.2,Very Poor,0,highest average PM2.5 among clusters,1.204344476153008,0.013312380600193373
Bangalore,2015-02-25,2015,Winter,448.5,581.4,8.0,60.2,57.3,0.3,0.18,13.7,44.3,75.1,Satisfactory,0,highest average PM2.5 among clusters,0.5479407586749068,-0.2652266622625945
Bangalore,2015-02-26,2015,Winter,356.0,523.7,189.9,125.4,71.1,9.9,1.17,63.9,75.1,145.4,Moderate,0,highest average PM2.5 among clusters,1.2172419936845844,-0.1669473014348106
Bangalore,2015-02-27,2015,Winter,463.2,535.2,82.4,121.0,10.5,3.8,0.31,33.7,149.2,172.2,Moderate,0,highest average PM2.5 among clusters,0.07319226707670473,0.23023159962808484
Bangalore,2015-02-28,2015,Winter,234.1,286.6,145.6,66.1,74.8,28.1,8.78,93.3,45.0,387.8,Very Poor,0,highest average PM2.5 among clusters,0.7123129389098948,1.0805463063590028
Bangalore,2015-03-01,2015,Winter,320.5,471.2,31.8,100.4,231.9,45.1,0.47,64.8,154.7,470.5,Severe,1,lowest average PM2.5 among clusters,-0.06564291977804373,0.2676817703081893
Bangalore,2015-03-02,2015,Winter,197.2,61.7,155.7,13.7,67.4,44.1,9.96,25.7,172.7,359.5,Very Poor,0,highest average PM2.5 among clusters,-0.8090195091883157,0.663945703716542
Bangalore,2015-03-03,2015,Winter,147.2,33.3,148.5,59.6,154.7,36.2,0.39,57.5,126.9,321.1,Very Poor,1,lowest average PM2.5 among clusters,0.2842677012808937,0.17156303369970954
Bangalore,2015-03-04,2015,Winter,196.7,278.3,71.3,44.4,68.7,4.9,6.02,25.0,108.7,359.1,Very Poor,0,highest average PM2.5 among clusters,-0.10383520544563274,-0.42219134626795385
Bangalore,2015-03-05,2015,Winter,217.6,545.8,93.6,144.5,111.2,17.0,6.82,5.4,120.2,375.1,Very Poor,0,highest average PM2.5 among clusters,-0.32294247043715874,-1.7447196723369864
Bangalore,2015-03-06,2015,Winter,33.5,391.5,100.2,8.0,194.2,5.2,9.8,51.1,132.4,351.8,Very Poor,1,lowest average PM2.5 among clusters,0.33453928805163935,-1.0055567523204083
Bangalore,2015-03-07,2015,Winter,72.3,384.2,17.4,100.8,4.1,13.9,6.22,47.3,198.9,342.6,Very Poor,0,highest average PM2.5 among clusters,0.024842181258999098,0.11890305986268815
Bangalore,2015-03-08,2015,Winter,314.7,280.0,77.5,93.2,179.7,7.8,5.68,14.4,177.3,464.7,Severe,1,lowest average PM2.5 among clusters,-1.592282569069561,-1.0951132679575595
Bangalore,2015-03-09,2015,Winter,362.7,110.1,154.6,83.8,90.4,6.0,8.65,55.8,197.9,274.4,Poor,0,highest average PM2.5 among clusters,-1.6620608442179348,0.49912206587305624
Bangalore,2015-03-10,2015,Winter,361.6,470.5,74.0,141.8,34.7,45.8,6.89,92.3,95.9,457.7,Severe,0,highest average PM2.5 among clusters,0.2391911141263206,1.6716178707128528
Bangalore,2015-03-11,2015,Winter,5.3,306.2,58.3,78.5,69.6,13.3,2.85,65.6,157.4,256.2,Poor,0,highest average PM2.5 among clusters,0.8826991948848208,-0.07847144736069307
Bangalore,2015-03-12,2015,Winter,156.2,558.5,22.8,8.3,193.7,3.0,8.97,90.2,136.9,328.0,Very Poor,1,lowest average PM2.5 among clusters,0.5067313481516984,0.23672570105166846
Bangalore,2015-03-13,2015,Winter,496.9,129.7,73.2,58.1,173.3,16.2,2.46,33.6,16.9,120.1,Moderate,1,lowest average PM2.5 among clusters,-0.9528399301145729,0.10860028533939925
Bangalore,2015-03-14,2015,Winter,60.6,186.0,53.0,59.1,200.6,22.1,1.03,48.5,102.2,157.5,Moderate,1,lowest average PM2.5 among clusters,0.37366567814970536,-0.7665699365101675
Bangalore,2015-03-15,2015,Winter,50.0,60.8,75.6,3.3,164.8,9.6,1.86,45.1,44.0,92.4,Satisfactory,1,lowest average PM2.5 among clusters,0.727014531000337,-0.6039507922540912
Bangalore,2015-03-16,2015,Winter,493.3,567.3,64.2,8.9,173.3,5.6,2.08,57.4,85.2,85.2,Satisfactory,1,lowest average PM2.5 among clusters,0.4555168345380719,0.49756400047770954
Bangalore,2015-03-17,2015,Winter,220.7,322.2,55.5,58.4,125.8,27.3,6.57,58.6,123.4,377.5,Very Poor,0,highest average PM2.5 among clusters,-0.13596788722308778,0.4037109847040329
Bangalore,2015-03-18,2015,Winter,112.7,466.3,135.8,100.2,221.1,40.3,5.25,99.6,33.1,451.6,Severe,1,lowest average PM2.5 among clusters,1.489010131848276,-0.1880208830916361
Bangalore,2015-03-19,2015,Winter,246.6,489.0,31.9,139.9,232.5,16.2,7.54,13.5,133.1,484.2,Severe,1,lowest average PM2.5 among clusters,-1.3476767217943997,-1.951698950455059
Bangalore,2015-03-20,2015,Winter,17.5,395.7,59.1,143.2,60.5,34.7,9.41,1.0,69.0,357.0,Very Poor,0,highest average PM2.5 among clusters,-0.01481982937274914,-1.673685249856469
Bangalore,2015-03-21,2015,Winter,174.8,205.0,119.5,103.5,35.1,39.9,4.56,54.4,193.1,342.3,Very Poor,0,highest average PM2.5 among clusters,-0.12520391356951274,0.7556017786716681
Bangalore,2015-03-22,2015,Winter,24.7,417.5,185.4,149.7,32.5,11.1,1.61,82.5,120.8,384.3,Very Poor,0,highest average PM2.5 among clusters,1.8669827611976806,-0.46786762475212035
Bangalore,2015-03-23,2015,Winter,331.9,16.8,164.3,118.1,48.5,48.0,2.06,30.2,20.4,481.9,Severe,0,highest average PM2.5 among clusters,-0.09612138703382392,0.3700352329051086
Bangalore,2015-03-24,2015,Winter,428.4,588.4,18.7,57.9,105.6,22.6,7.08,71.4,189.6,253.3,Poor,0,highest average PM2.5 among clusters,-0.46051926983248204,1.3443688044832656
Bangalore,2015-03-25,2015,Winter,46.1,358.7,77.0,148.6,200.5,41.2,2.82,13.6,64.3,310.6,Very Poor,1,lowest average PM2.5 among clusters,0.272413288809149,-2.0902977836376175
Bangalore,2015-03-26,2015,Winter,106.4,595.3,179.7,26.1,146.3,21.2,9.66,34.4,79.5,253.6,Poor,1,lowest average PM2.5 among clusters,1.3331803286582278,-1.185075854559643
Bangalore,2015-03-27,2015,Winter,200.3,304.6,155.9,132.0,213.8,25.6,1.29,16.2,36.0,361.9,Very Poor,1,lowest average PM2.5 among clusters,0.24904597091426847,-2.062132660983618
Bangalore,2015-03-28,2015,Winter,371.3,579.8,199.3,116.1,47.5,46.0,6.35,51.5,54.9,154.3,Moderate,0,highest average PM2.5 among clusters,1.0915040383592545,0.3849021198872733
Bangalore,2015-03-29,2015,Winter,100.6,241.9,108.1,10.0,127.3,15.5,6.28,45.1,24.8,233.8,Poor,0,highest average PM2.5 among clusters,0.9367845015539239,-0.45533678116262555
Bangalore,2015-03-30,2015,Winter,328.8,213.9,113.0,73.1,137.1,35.3,0.62,16.8,43.2,478.8,Severe,1,lowest average PM2.5 among clusters,0.10015159883585277,-0.404874541882274
Bangalore,2015-03-31,2015,Winter,498.1,421.4,19.9,114.7,13.3,44.1,6.65,23.6,117.3,389.2,Very Poor,0,highest average PM2.5 among clusters,-1.0709008740635624,1.1198745974205844
Bangalore,2015-04-01,2015,Summer,89.9,41.4,174.2,27.1,86.5,4.0,3.06,45.8,8.9,199.7,Moderate,0,highest average PM2.5 among clusters,1.109807999584291,-0.5863630554406123
Bangalore,2015-04-02,2015,Summer,303.2,328.1,160.1,92.0,124.5,43.4,8.15,30.3,80.1,453.2,Severe,0,highest average PM2.5 among clusters,-0.2806801032952055,-0.2438352339169663
Bangalore,2015-04-03,2015,Summer,289.0,390.8,20.1,97.0,191.5,17.0,2.89,7.8,60.7,439.0,Severe,1,lowest average PM2.5 among clusters,-0.5162553584096105,-1.4317383528561451
Bangalore,2015-04-04,2015,Summer,62.6,454.7,155.9,133.9,226.2,9.5,9.23,29.9,118.6,435.0,Severe,1,lowest average PM2.5 among clusters,-0.256369437139727,-2.549306063013842
Bangalore,2015-04-05,2015,Summer,244.9,38.6,186.7,87.3,121.1,21.4,4.45,5.8,45.3,396.1,Very Poor,1,lowest average PM2.5 among clusters,-0.5005822945743722,-1.1989241455166215
Bangalore,2015-04-06,2015,Summer,454.3,212.3,182.1,59.6,217.1,23.7,6.86,71.0,67.6,175.0,Moderate,1,lowest average PM2.5 among clusters,-0.6996261932724158,0.38815717083767687
Bangalore,2015-04-07,2015,Summer,134.9,388.6,188.6,143.7,178.0,25.8,0.65,3.1,70.9,348.1,Very Poor,1,lowest average PM2.5 among clusters,0.6830273650481611,-2.4906200113992636
Bangalore,2015-04-08,2015,Summer,148.1,365.9,136.7,57.3,14.2,22.3,9.5,91.2,197.0,321.8,Very Poor,0,highest average PM2.5 among clusters,0.5037673583524643,1.3663444101062454
Bangalore,2015-04-09,2015,Summer,412.4,227.8,21.6,34.7,138.8,33.7,8.77,3.1,97.7,185.2,Moderate,1,lowest average PM2.5 among clusters,-1.697962997102743,0.11273143553472907
Bangalore,2015-04-10,2015,Summer,421.2,90.5,66.7,105.0,193.4,24.5,3.64,78.8,56.8,125.0,Moderate,1,lowest average PM2.5 among clusters,-1.108932995927741,0.7234089612760759
Bangalore,2015-04-11,2015,Summer,446.6,551.3,43.6,18.8,149.4,5.6,3.25,90.8,37.3,115.4,Moderate,1,lowest average PM2.5 among clusters,0.9313719616722919,1.120872388234676
Bangalore,2015-04-12,2015,Summer,86.7,460.4,97.6,83.4,242.5,47.8,7.65,21.2,144.1,443.2,Severe,1,lowest average PM2.5 among clusters,-0.13795624139138946,-1.4833225599714512
Bangalore,2015-04-13,2015,Summer,331.5,434.7,98.0,147.0,49.2,37.1,6.58,14.2,46.0,481.5,Severe,0,highest average PM2.5 among clusters,-0.1886374339602119,-0.5334502403409158
Bangalore,2015-04-14,2015,Summer,121.0,349.1,97.3,108.5,77.9,41.6,0.5,56.6,70.6,301.0,Very Poor,0,highest average PM2.5 among clusters,1.3959642143556497,0.0450579178181361
Bangalore,2015-04-15,2015,Summer,79.2,575.0,178.9,53.8,246.4,17.3,7.97,83.9,93.7,174.6,Moderate,1,lowest average PM2.5 among clusters,1.377580008151136,-1.0087971835544864
Bangalore,2015-04-16,2015,Summer,365.7,54.0,19.9,122.2,136.6,49.4,1.24,29.9,75.4,142.2,Moderate,1,lowest average PM2.5 among clusters,-1.248561744675414,0.41396533828425297
Bangalore,2015-04-17,2015,Summer,225.7,575.8,48.4,77.6,202.8,5.9,2.54,87.5,64.4,381.4,Very Poor,1,lowest average PM2.5 among clusters,1.1271239531643893,-0.3010383064429458
Bangalore,2015-04-18,2015,Summer,72.7,39.3,122.2,9.8,18.7,28.0,4.2,7.3,168.2,140.9,Moderate,0,highest average PM2.5 among clusters,0.06511802937794695,0.005352935018348151
Bangalore,2015-04-19,2015,Summer,431.0,350.1,137.9,15.2,155.1,8.9,3.51,12.7,81.2,118.7,Moderate,1,lowest average PM2.5 among clusters,-0.1786145314497324,-0.5335602045881201
Bangalore,2015-04-20,2015,Summer,140.6,23.5,117.6,20.8,231.9,16.1,3.08,79.7,169.6,316.0,Very Poor,1,lowest average PM2.5 among clusters,-0.3565080066960288,0.21477844223121673
Bangalore,2015-04-21,2015,Summer,2.7,68.2,28.5,66.1,152.5,0.6,8.01,98.5,144.2,175.1,Moderate,1,lowest average PM2.5 among clusters,-0.48038736909983276,0.22712600609030983
Bangalore,2015-04-22,2015,Summer,246.3,114.3,120.0,10.6,160.4,12.5,9.33,3.9,84.5,397.2,Very Poor,1,lowest average PM2.5 among clusters,-1.0917969667382816,-0.948944887441611
Bangalore,2015-04-23,2015,Summer,491.5,415.3,136.8,11.8,225.2,36.6,7.74,15.4,107.2,381.6,Very Poor,1,lowest average PM2.5 among clusters,-0.9003482265035709,-0.16360291585752915
Bangalore,2015-04-24,2015,Summer,466.5,303.7,80.6,129.7,84.6,5.0,8.77,63.9,14.1,253.7,Poor,0,highest average PM2.5 among clusters,-0.942342454558385,0.32791301044707394
Bangalore,2015-04-25,2015,Summer,104.3,538.7,57.4,70.5,216.6,28.5,4.32,66.3,72.7,246.4,Poor,1,lowest average PM2.5 among clusters,1.1330172799765152,-0.7031406573832429
Bangalore,2015-04-26,2015,Summer,285.2,420.5,9.4,7.8,12.5,17.0,0.57,8.6,54.1,435.2,Severe,0,highest average PM2.5 among clusters,1.0562467273784146,0.22916727968810766
Bangalore,2015-04-27,2015,Summer,18.2,554.7,85.6,48.9,107.3,40.1,8.76,68.2,48.6,184.5,Moderate,0,highest average PM2.5 among clusters,1.8028161403108127,-0.04697060554038917
Bangalore,2015-04-28,2015,Summer,270.6,433.1,169.6,103.8,20.5,14.2,5.84,77.9,79.7,420.6,Severe,0,highest average PM2.5 among clusters,1.0357301441049347,0.5501134795928267
Bangalore,2015-04-29,2015,Summer,328.3,14.8,166.2,121.0,44.2,42.4,4.29,39.4,141.0,478.3,Severe,0,highest average PM2.5 among clusters,-0.961266638434573,0.7135231463251435
Bangalore,2015-04-30,2015,Summer,326.2,133.9,0.8,103.5,170.8,36.9,9.63,96.1,143.9,476.2,Severe,1,lowest average PM2.5 among clusters,-1.8121284451461233,1.5161001363649038
Bangalore,2015-05-01,2015,Summer,55.2,545.8,145.9,144.7,132.1,49.6,4.96,67.8,81.6,164.7,Moderate,1,lowest average PM2.5 among clusters,1.5429435319169886,-0.6188151609743282
Bangalore,2015-05-02,2015,Summer,144.9,473.6,36.9,85.0,88.3,27.7,3.84,35.9,104.2,462.1,Severe,0,highest average PM2.5 among clusters,0.695654964607794,-0.3851382233292931
Bangalore,2015-05-03,2015,Summer,267.7,205.7,49.9,97.4,47.2,49.8,1.4,0.1,173.8,417.7,Severe,0,highest average PM2.5 among clusters,-0.6895562976481745,0.17512814675991162
Bangalore,2015-05-04,2015,Summer,498.7,77.3,83.4,114.3,102.6,49.6,0.79,39.4,174.7,215.5,Poor,0,highest average PM2.5 among clusters,-1.5999488330984561,1.3061567610229625
Bangalore,2015-05-05,2015,Summer,449.4,173.3,59.0,22.7,172.9,33.2,3.47,27.3,27.7,149.0,Moderate,1,lowest average PM2.5 among clusters,-0.6468929293711443,0.4107987934452543
Bangalore,2015-05-06,2015,Summer,436.4,105.4,46.1,85.0,5.5,45.2,8.36,2.3,170.4,204.6,Poor,0,highest average PM2.5 among clusters,-2.1655378552557054,1.0705525416439352
Bangalore,2015-05-07,2015,Summer,171.6,370.3,1.0,100.5,189.7,35.8,8.12,77.1,93.6,339.8,Very Poor,1,lowest average PM2.5 among clusters,-0.35172893576167047,0.19287728488574082
Bangalore,2015-05-08,2015,Summer,285.6,330.8,123.5,122.6,66.6,12.6,0.81,98.7,51.6,435.6,Severe,0,highest average PM2.5 among clusters,1.137325312964013,0.7752694040914366
Bangalore,2015-05-09,2015,Summer,25.4,76.7,9.6,27.6,205.2,33.1,1.8,48.5,177.8,223.3,Poor,1,lowest average PM2.5 among clusters,-0.28617887471170383,-0.10022368195491618
Bangalore,2015-05-10,2015,Summer,285.4,436.6,16.8,100.3,141.7,39.9,3.13,13.2,67.1,435.4,Severe,1,lowest average PM2.5 among clusters,-0.1130642433756769,-0.6258352522162026
Bangalore,2015-05-11,2015,Summer,264.2,144.3,180.6,147.1,191.3,40.6,2.59,65.5,122.5,414.2,Severe,1,lowest average PM2.5 among clusters,-0.45986910314973023,-0.211161542154898
Bangalore,2015-05-12,2015,Summer,474.4,433.0,138.0,56.1,45.7,47.2,9.0,95.2,41.3,403.9,Severe,0,highest average PM2.5 among clusters,0.5821766155664417,2.339096717579808
Bangalore,2015-05-13,2015,Summer,260.6,471.1,197.0,136.5,112.7,6.4,5.0,35.7,46.4,458.5,Severe,0,highest average PM2.5 among clusters,0.6240165154640142,-1.4931093243077636
Bangalore,2015-05-14,2015,Summer,354.6,582.1,72.1,120.8,238.4,47.3,2.28,76.2,185.0,241.6,Poor,1,lowest average PM2.5 among clusters,-0.09883922640183662,0.33850168778867257
Bangalore,2015-05-15,2015,Summer,14.5,529.5,177.6,40.6,21.9,36.0,0.11,16.9,26.9,26.9,Good,0,highest average PM2.5 among clusters,3.1504811634844314,-0.9401941089145831
Bangalore,2015-05-16,2015,Summer,470.5,53.0,131.7,58.5,243.8,13.9,8.38,8.8,52.6,179.7,Moderate,1,lowest average PM2.5 among clusters,-2.2424485372855396,-0.9953204266470821
Bangalore,2015-05-17,2015,Summer,107.2,465.9,146.5,146.8,38.4,19.7,1.25,96.6,38.1,451.1,Severe,0,highest average PM2.5 among clusters,2.236733481113056,0.11801788187286855
Bangalore,2015-05-18,2015,Summer,137.5,446.2,42.2,113.9,77.1,28.8,6.57,40.4,177.3,422.8,Severe,0,highest average PM2.5 among clusters,-0.15713800117624252,-0.24367338201073976
