Actual,Predicted,Count,Model
Very Poor,Satisfactory,0,Random Forest
Good,Severe,0,Random Forest
Moderate,Severe,4,Random Forest
Poor,Severe,1,Random Forest
Satisfactory,Severe,1,Random Forest
Severe,Severe,1315,Random Forest
Very Poor,Severe,1,Random Forest
Good,Very Poor,0,Random Forest
Moderate,Very Poor,6,Random Forest
Poor,Very Poor,0,Random Forest
Satisfactory,Very Poor,0,Random Forest
Severe,Very Poor,0,Random Forest
Very Poor,Very Poor,1370,Random Forest
Good,Good,0,Hist Gradient Boosting
Moderate,Good,0,Hist Gradient Boosting
Poor,Good,0,Hist Gradient Boosting
Satisfactory,Good,0,Hist Gradient Boosting
Severe,Good,0,Hist Gradient Boosting
Very Poor,Good,0,Hist Gradient Boosting
Good,Moderate,2,Hist Gradient Boosting
Moderate,Moderate,938,Hist Gradient Boosting
Poor,Moderate,22,Hist Gradient Boosting
Satisfactory,Moderate,9,Hist Gradient Boosting
Severe,Moderate,22,Hist Gradient Boosting
Very Poor,Moderate,21,Hist Gradient Boosting
Good,Poor,0,Hist Gradient Boosting
Moderate,Poor,23,Hist Gradient Boosting
Poor,Poor,697,Hist Gradient Boosting
Satisfactory,Poor,4,Hist Gradient Boosting
Severe,Poor,19,Hist Gradient Boosting
Very Poor,Poor,29,Hist Gradient Boosting
Good,Satisfactory,0,Hist Gradient Boosting
Moderate,Satisfactory,22,Hist Gradient Boosting
Poor,Satisfactory,18,Hist Gradient Boosting
Satisfactory,Satisfactory,6,Hist Gradient Boosting
Severe,Satisfactory,12,Hist Gradient Boosting
Very Poor,Satisfactory,19,Hist Gradient Boosting
Good,Severe,0,Hist Gradient Boosting
Moderate,Severe,40,Hist Gradient Boosting
Poor,Severe,16,Hist Gradient Boosting
Satisfactory,Severe,1,Hist Gradient Boosting
Severe,Severe,1186,Hist Gradient Boosting
Very Poor,Severe,37,Hist Gradient Boosting
Good,Very Poor,0,Hist Gradient Boosting
Moderate,Very Poor,42,Hist Gradient Boosting
Poor,Very Poor,29,Hist Gradient Boosting
Satisfactory,Very Poor,8,Hist Gradient Boosting
Severe,Very Poor,76,Hist Gradient Boosting
Very Poor,Very Poor,1269,Hist Gradient Boosting
